method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca50_k8,50,btc,30s,30,8,7,37,5.886,1.533,3.838,1.981,2.971,1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,4,155,5.917,1.662,3.561,1.991,2.971,-1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,6,1054,3.365,2.319,1.451,1.132,2.971,-1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,5,655,3.944,2.735,1.442,1.327,2.971,-1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,1,536,3.541,2.774,1.277,1.192,2.971,-1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,2,370,4.488,3.995,1.123,1.51,2.971,1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,3,694,2.495,3.134,0.796,0.84,2.971,1,3.838,0.001,1.329,1.834,2.231,1000
kmeans,pca50_k8,50,btc,30s,30,8,0,696,3.288,4.505,0.73,1.107,2.971,-1,3.838,0.001,1.329,1.834,2.231,1000
