cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
3,639,23,median_queue_pressure_spot_5bps_15s_eth,median_queue_pressure_spot_5bps_15s,Dynamics,B5_dynamics,-0.8715,-0.152277,-0.00859
3,639,24,taker_imbalance_shock_spot_15s_btc,taker_imbalance_shock_spot_15s,Dynamics,B5_dynamics,-0.8623,-1.101034,-0.02311
3,639,25,median_queue_pressure_spot_2bps_5s_btc,median_queue_pressure_spot_2bps_5s,Dynamics,B5_dynamics,-0.86,-0.367492,-0.029455
3,639,26,ema_slope_50_60m_bps_fut_btc,ema_slope_50_60m_bps_fut,Trend,B6_context,0.8547,8.683008,2.372326
3,639,27,ema_slope_200_15m_bps_fut_eth,ema_slope_200_15m_bps_fut,Trend,B6_context,0.8495,2.792408,0.643307
3,639,28,absorption_volume_bid_spot_1bps_15s_btc,absorption_volume_bid_spot_1bps_15s,Absorption,B3_flow,-0.8472,10.980179,12.42399
3,639,29,queue_pressure_spot_1bps_60s_eth,queue_pressure_spot_1bps_60s,Pressure,B1_imbalance,-0.8459,-24.949415,4.846435
3,639,30,queue_pressure_spot_5bps_15s_eth,queue_pressure_spot_5bps_15s,Pressure,B1_imbalance,-0.8436,-0.16123,-0.011751
3,639,31,z_taker_imbalance_spot_60s_btc,z_taker_imbalance_spot_60s,Normalization,B5_dynamics,-0.8382,-1.046306,0.031298
3,639,32,queue_pressure_spot_2bps_5s_eth,queue_pressure_spot_2bps_5s,Pressure,B1_imbalance,-0.8361,-0.30859,-0.006533
3,639,33,queue_pressure_spot_1bps_15s_btc,queue_pressure_spot_1bps_15s,Pressure,B1_imbalance,-0.8246,-13.597223,-0.771154
3,639,34,z_taker_imbalance_fut_60s_btc,z_taker_imbalance_fut_60s,Normalization,B5_dynamics,-0.8156,-0.917858,0.136047
3,639,35,queue_pressure_spot_2bps_5s_btc,queue_pressure_spot_2bps_5s,Pressure,B1_imbalance,-0.8107,-0.364402,-0.031113
3,639,36,taker_imbalance_fut_5s_eth,taker_imbalance_fut_5s,Aggression,B1_imbalance,-0.8094,-0.201809,0.034748
3,639,37,taker_imbalance_shock_spot_60s_btc,taker_imbalance_shock_spot_60s,Dynamics,B5_dynamics,-0.8089,-1.165947,0.059261
3,639,38,taker_imbalance_fut_60s_btc,taker_imbalance_fut_60s,Aggression,B1_imbalance,-0.8033,-0.132372,0.016871
3,639,39,queue_pressure_div_fut_minus_spot_1bps_15s_eth,queue_pressure_div_fut_minus_spot_1bps_15s,Cross-Market,B4_cross_market,0.7989,10.588483,-0.196932
3,639,40,above_week_open_fut_btc,above_week_open_fut,Level Events,B6_context,0.7963,0.676056,0.308315
3,639,41,queue_pressure_div_fut_minus_spot_1bps_60s_eth,queue_pressure_div_fut_minus_spot_1bps_60s,Cross-Market,B4_cross_market,0.7933,24.246836,-3.23951
3,639,42,absorption_asymmetry_spot_1bps_60s_eth,absorption_asymmetry_spot_1bps_60s,Absorption,B3_flow,0.7877,0.297249,-0.075426
3,639,43,absorption_asymmetry_spot_1bps_60s_btc,absorption_asymmetry_spot_1bps_60s,Absorption,B3_flow,0.7802,0.34134,-0.066231
3,639,44,taker_imbalance_shock_spot_60s_eth,taker_imbalance_shock_spot_60s,Dynamics,B5_dynamics,-0.7637,-0.889703,0.071717
3,639,45,queue_pressure_spot_5bps_60s_eth,queue_pressure_spot_5bps_60s,Pressure,B1_imbalance,-0.7629,-0.112446,-0.002429
3,639,46,absorption_asymmetry_fut_1bps_15s_eth,absorption_asymmetry_fut_1bps_15s,Absorption,B3_flow,0.762,0.263086,-0.06824
3,639,47,queue_pressure_fut_10bps_15s_eth,queue_pressure_fut_10bps_15s,Pressure,B1_imbalance,0.7562,0.137696,0.005906
3,639,48,absorption_asymmetry_fut_1bps_15s_btc,absorption_asymmetry_fut_1bps_15s,Absorption,B3_flow,0.7515,0.34138,-0.055917
3,639,49,taker_imbalance_spot_5s_btc,taker_imbalance_spot_5s,Aggression,B1_imbalance,-0.7493,-0.26257,0.019742
3,639,50,ema_slope_50_60m_bps_fut_eth,ema_slope_50_60m_bps_fut,Trend,B6_context,0.7485,9.257221,2.23456
4,684,1,trade_count_spot_300s_btc,trade_count_spot_300s,Activity,B3_flow,-1.2272,10.090384,10.723874
4,684,2,median_refill_rate_spot_1bps_60s_eth,median_refill_rate_spot_1bps_60s,Dynamics,B5_dynamics,-1.2086,0.238197,0.356167
4,684,3,trade_count_spot_300s_eth,trade_count_spot_300s,Activity,B3_flow,-1.194,10.093453,10.823793
4,684,4,median_refill_rate_spot_1bps_60s_btc,median_refill_rate_spot_1bps_60s,Dynamics,B5_dynamics,-1.1877,0.191577,0.311988
4,684,5,refill_rate_spot_2bps_60s_eth,refill_rate_spot_2bps_60s,Liquidity Events,B3_flow,-1.16,0.234,0.318489
4,684,6,median_refill_rate_fut_1bps_60s_eth,median_refill_rate_fut_1bps_60s,Dynamics,B5_dynamics,-1.1554,0.22828,0.313733
4,684,7,queue_pressure_persist_spot_1bps_300s_eth,queue_pressure_persist_spot_1bps_300s,Dynamics,B5_dynamics,1.1369,0.55134,0.318401
4,684,8,median_refill_rate_fut_1bps_60s_btc,median_refill_rate_fut_1bps_60s,Dynamics,B5_dynamics,-1.1127,0.206509,0.299754
4,684,9,median_refill_rate_spot_5bps_60s_eth,median_refill_rate_spot_5bps_60s,Dynamics,B5_dynamics,-1.096,0.067933,0.116295
4,684,10,refill_rate_fut_2bps_60s_eth,refill_rate_fut_2bps_60s,Liquidity Events,B3_flow,-1.0932,0.184803,0.243317
4,684,11,median_refill_rate_spot_5bps_60s_btc,median_refill_rate_spot_5bps_60s,Dynamics,B5_dynamics,-1.0907,0.057391,0.10151
4,684,12,refill_rate_spot_5bps_60s_btc,refill_rate_spot_5bps_60s,Liquidity Events,B3_flow,-1.0638,0.08335,0.118546
4,684,13,queue_pressure_persist_spot_1bps_300s_btc,queue_pressure_persist_spot_1bps_300s,Dynamics,B5_dynamics,1.0504,0.577968,0.35861
4,684,14,refill_rate_spot_2bps_60s_btc,refill_rate_spot_2bps_60s,Liquidity Events,B3_flow,-1.0378,0.193466,0.270182
4,684,15,trade_count_spot_900s_btc,trade_count_spot_900s,Activity,B3_flow,-1.0338,10.914084,11.508122
4,684,16,trade_count_spot_900s_eth,trade_count_spot_900s,Activity,B3_flow,-1.031,10.949819,11.613647
4,684,17,volume_spot_300s_eth,volume_spot_300s,Activity,B3_flow,-1.0281,7.818058,8.556631
4,684,18,refill_rate_spot_5bps_60s_eth,refill_rate_spot_5bps_60s,Liquidity Events,B3_flow,-1.0272,0.094314,0.134304
4,684,19,queue_pressure_persist_fut_1bps_300s_eth,queue_pressure_persist_fut_1bps_300s,Dynamics,B5_dynamics,1.021,0.377424,0.188387
4,684,20,volume_spot_900s_eth,volume_spot_900s,Activity,B3_flow,-0.9915,8.556024,9.251975
4,684,21,median_refill_rate_fut_5bps_60s_eth,median_refill_rate_fut_5bps_60s,Dynamics,B5_dynamics,-0.9883,0.062894,0.107502
4,684,22,queue_pressure_persist_fut_1bps_300s_btc,queue_pressure_persist_fut_1bps_300s,Dynamics,B5_dynamics,0.9781,0.456921,0.263127
4,684,23,refill_rate_fut_2bps_60s_btc,refill_rate_fut_2bps_60s,Liquidity Events,B3_flow,-0.9704,0.177174,0.23099
4,684,24,median_refill_rate_spot_10bps_60s_eth,median_refill_rate_spot_10bps_60s,Dynamics,B5_dynamics,-0.966,0.034679,0.062083
4,684,25,median_refill_rate_fut_5bps_60s_btc,median_refill_rate_fut_5bps_60s,Dynamics,B5_dynamics,-0.9532,0.058159,0.096182
4,684,26,median_refill_rate_fut_10bps_60s_eth,median_refill_rate_fut_10bps_60s,Dynamics,B5_dynamics,-0.9504,0.031516,0.060502
4,684,27,median_refill_rate_spot_10bps_60s_btc,median_refill_rate_spot_10bps_60s,Dynamics,B5_dynamics,-0.9349,0.030068,0.052739
4,684,28,range_pos_fut_3600s_btc,range_pos_fut_3600s,Range,B6_context,-0.9314,0.214301,0.585125
4,684,29,liq_concentration_ask_fut_struct100_300s_eth,liq_concentration_ask_fut_struct100_300s,Bookshape,B2_bookshape,0.9276,129.46283,115.30069
4,684,30,net_pressure_persist_spot_5bps_300s_btc,net_pressure_persist_spot_5bps_300s,Dynamics,B5_dynamics,0.9268,0.447042,0.405412
4,684,31,queue_pressure_persist_spot_1bps_900s_eth,queue_pressure_persist_spot_1bps_900s,Dynamics,B5_dynamics,0.9139,0.586584,0.403223
4,684,32,net_pressure_persist_spot_5bps_300s_eth,net_pressure_persist_spot_5bps_300s,Dynamics,B5_dynamics,0.9114,0.441588,0.401887
4,684,33,volume_fut_900s_eth,volume_fut_900s,Activity,B3_flow,-0.9082,11.182407,11.812791
4,684,34,refill_rate_fut_5bps_60s_eth,refill_rate_fut_5bps_60s,Liquidity Events,B3_flow,-0.906,0.089019,0.12744
4,684,35,net_pressure_persist_spot_5bps_60s_eth,net_pressure_persist_spot_5bps_60s,Dynamics,B5_dynamics,0.9009,0.719932,0.63364
4,684,36,trade_count_spot_60s_eth,trade_count_spot_60s,Activity,B3_flow,-0.8985,9.304066,9.772983
