method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca600_k8,eth,30s,30,8,0,-1,1659,15,1.983,1.687,1.176
kmeans,pca600_k8,eth,30s,30,8,0,-1,1659,30,3.239,2.686,1.206
kmeans,pca600_k8,eth,30s,30,8,0,-1,1659,60,4.911,4.214,1.165
kmeans,pca600_k8,eth,30s,30,8,0,-1,1659,120,6.936,6.108,1.136
kmeans,pca600_k8,eth,30s,30,8,0,-1,1659,300,10.846,9.396,1.154
kmeans,pca600_k8,eth,30s,30,8,1,-1,2643,15,1.51,1.592,0.949
kmeans,pca600_k8,eth,30s,30,8,1,-1,2643,30,2.632,2.509,1.049
kmeans,pca600_k8,eth,30s,30,8,1,-1,2643,60,4.166,4.013,1.038
kmeans,pca600_k8,eth,30s,30,8,1,-1,2643,120,6.218,6.134,1.014
kmeans,pca600_k8,eth,30s,30,8,1,-1,2643,300,11.062,10.323,1.072
kmeans,pca600_k8,eth,30s,30,8,2,-1,1163,15,1.713,1.942,0.882
kmeans,pca600_k8,eth,30s,30,8,2,-1,1163,30,2.9,3.054,0.949
kmeans,pca600_k8,eth,30s,30,8,2,-1,1163,60,5.15,5.288,0.974
kmeans,pca600_k8,eth,30s,30,8,2,-1,1163,120,8.029,7.573,1.06
kmeans,pca600_k8,eth,30s,30,8,2,-1,1163,300,12.768,11.728,1.089
kmeans,pca600_k8,eth,30s,30,8,3,1,294,15,1.322,1.369,0.966
kmeans,pca600_k8,eth,30s,30,8,3,1,294,30,2.063,2.039,1.012
kmeans,pca600_k8,eth,30s,30,8,3,1,294,60,3.257,4.025,0.809
kmeans,pca600_k8,eth,30s,30,8,3,1,294,120,5.673,6.436,0.881
kmeans,pca600_k8,eth,30s,30,8,3,1,294,300,8.629,10.937,0.789
kmeans,pca600_k8,eth,30s,30,8,4,-1,1371,15,1.558,1.453,1.073
kmeans,pca600_k8,eth,30s,30,8,4,-1,1371,30,2.631,2.216,1.187
kmeans,pca600_k8,eth,30s,30,8,4,-1,1371,60,3.702,4.016,0.922
kmeans,pca600_k8,eth,30s,30,8,4,-1,1371,120,5.805,6.638,0.874
kmeans,pca600_k8,eth,30s,30,8,4,-1,1371,300,9.015,11.309,0.797
kmeans,pca600_k8,eth,30s,30,8,5,-1,2612,15,1.82,1.782,1.022
kmeans,pca600_k8,eth,30s,30,8,5,-1,2612,30,3.12,2.825,1.105
kmeans,pca600_k8,eth,30s,30,8,5,-1,2612,60,4.774,4.454,1.072
kmeans,pca600_k8,eth,30s,30,8,5,-1,2612,120,6.929,6.459,1.073
kmeans,pca600_k8,eth,30s,30,8,5,-1,2612,300,11.769,11.393,1.033
kmeans,pca600_k8,eth,30s,30,8,6,-1,57,15,2.439,1.367,1.784
kmeans,pca600_k8,eth,30s,30,8,6,-1,57,30,3.281,1.673,1.962
kmeans,pca600_k8,eth,30s,30,8,6,-1,57,60,3.693,3.095,1.193
kmeans,pca600_k8,eth,30s,30,8,6,-1,57,120,6.244,5.77,1.082
kmeans,pca600_k8,eth,30s,30,8,6,-1,57,300,10.654,9.656,1.103
kmeans,pca600_k8,eth,30s,30,8,7,1,2063,15,1.663,1.659,1.002
kmeans,pca600_k8,eth,30s,30,8,7,1,2063,30,2.697,2.618,1.03
kmeans,pca600_k8,eth,30s,30,8,7,1,2063,60,4.245,4.067,1.044
kmeans,pca600_k8,eth,30s,30,8,7,1,2063,120,6.691,6.532,1.024
kmeans,pca600_k8,eth,30s,30,8,7,1,2063,300,12.987,12.285,1.057
