asset,hz,thr,pca,k,cluster,trade_dir,n,ratio_15,ratio_30,ratio_60,ratio_120,ratio_300,DA_win,DA_60,DA_max,n_test
btc,30s,20,300,8,0,-1,3284,1.005,1.147,1.178,1.167,1.205,0.588,0.5258,0.5904,568.0
eth,5s,10,150,10,3,-1,2684,0.953,1.038,1.029,0.993,1.04,0.5877,0.5439,0.5877,1431.0
eth,5s,15,150,10,7,-1,555,0.948,1.065,1.156,1.171,1.068,0.5873,0.6078,0.6078,458.0
btc,5s,10,150,8,4,-1,1321,0.932,1.033,1.106,1.102,1.083,0.5872,0.5437,0.5895,705.0
eth,5s,10,600,10,5,-1,2781,0.959,1.048,1.044,1.015,1.066,0.5864,0.5468,0.5864,1458.0
btc,30s,20,50,8,7,-1,3223,1.009,1.153,1.184,1.177,1.206,0.5855,0.5375,0.5879,567.0
eth,5s,10,300,10,9,-1,2674,0.959,1.048,1.038,1.003,1.046,0.585,0.544,0.585,1429.0
eth,30s,30,300,8,3,-1,2094,1.053,1.124,1.062,1.148,1.13,0.583,0.5766,0.6049,1674.0
eth,5s,20,50,8,5,-1,388,0.903,1.024,1.013,1.003,1.085,0.5829,0.5088,0.5906,175.0
btc,30s,15,50,8,6,-1,5723,1.083,1.086,1.013,0.996,0.979,0.5826,0.5507,0.5826,1392.0
btc,30s,20,600,8,3,-1,2830,1.047,1.08,1.122,1.179,1.077,0.5824,0.4896,0.594,431.0
btc,15s,30,150,6,4,-1,356,0.663,0.847,1.073,1.104,0.762,0.5815,0.6945,0.6945,313.0
btc,15s,30,150,8,3,-1,244,1.532,1.577,1.661,1.349,1.821,0.5802,0.6,0.6085,212.0
btc,30s,10,150,8,6,-1,16113,0.998,1.06,1.076,1.133,1.082,0.5801,0.5485,0.5801,2110.0
btc,30s,15,600,8,0,-1,5859,1.062,1.076,1.005,0.978,0.964,0.578,0.5367,0.578,1282.0
btc,30s,10,600,8,1,-1,15872,1.001,1.064,1.08,1.137,1.084,0.5776,0.5471,0.5776,2088.0
eth,30s,40,600,8,7,-1,685,0.814,1.109,1.088,1.098,1.091,0.5775,0.5423,0.617,142.0
eth,30s,20,300,8,1,-1,7839,0.95,0.998,1.024,1.0,1.008,0.5775,0.5635,0.5775,1645.0
