cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,696,1,depth_gradient_bid_spot_struct50_60s_eth,depth_gradient_bid_spot_struct50_60s,Bookshape,B2_bookshape,-1.2356,36.356133,41.91795
0,696,2,liq_concentration_bid_spot_struct50_60s_eth,liq_concentration_bid_spot_struct50_60s,Bookshape,B2_bookshape,1.2348,23.59646,17.96817
0,696,3,depth_gradient_bid_spot_struct50_300s_eth,depth_gradient_bid_spot_struct50_300s,Bookshape,B2_bookshape,-1.2303,182.818939,209.189041
0,696,4,depth_notional_ask_struct100_fut_900s_eth,depth_notional_ask_struct100_fut_900s,Bookshape,B2_bookshape,1.2223,54299264.0,42663016.0
0,696,5,liq_concentration_bid_spot_struct50_900s_eth,liq_concentration_bid_spot_struct50_900s,Bookshape,B2_bookshape,1.2126,343.720978,268.813354
0,696,6,depth_gradient_bid_spot_struct50_900s_eth,depth_gradient_bid_spot_struct50_900s,Bookshape,B2_bookshape,-1.1811,555.44696,628.498108
0,696,7,depth_notional_ask_struct100_fut_300s_eth,depth_notional_ask_struct100_fut_300s,Bookshape,B2_bookshape,1.1585,56497492.0,43876064.0
0,696,8,liq_sum_fut_900s_btc,liq_sum_fut_900s,Bookshape,B2_bookshape,1.1575,16.231714,15.910153
0,696,9,liq_sum_fut_300s_btc,liq_sum_fut_300s,Bookshape,B2_bookshape,1.1262,16.295385,15.927116
0,696,10,depth_gradient_bid_spot_struct100_900s_btc,depth_gradient_bid_spot_struct100_900s,Bookshape,B2_bookshape,-1.1005,308.068298,385.84668
0,696,11,liq_concentration_bid_spot_struct100_900s_btc,liq_concentration_bid_spot_struct100_900s,Bookshape,B2_bookshape,1.0919,590.908569,511.34613
0,696,12,depth_notional_ask_struct100_fut_60s_eth,depth_notional_ask_struct100_fut_60s,Bookshape,B2_bookshape,1.0575,17.852358,17.579105
0,696,13,liq_sum_fut_900s_eth,liq_sum_fut_900s,Bookshape,B2_bookshape,1.0554,15.559359,15.155107
0,696,14,liq_concentration_bid_spot_struct100_300s_btc,liq_concentration_bid_spot_struct100_300s,Bookshape,B2_bookshape,1.0299,196.604218,170.307007
0,696,15,depth_gradient_bid_spot_struct100_300s_btc,depth_gradient_bid_spot_struct100_300s,Bookshape,B2_bookshape,-1.028,103.203156,128.696228
0,696,16,liq_sum_spot_900s_eth,liq_sum_spot_900s,Bookshape,B2_bookshape,1.0005,1875324.5,1390790.375
0,696,17,liq_sum_fut_300s_eth,liq_sum_fut_300s,Bookshape,B2_bookshape,0.9809,15.490628,15.124148
0,696,18,depth_notional_ask_struct50_fut_900s_eth,depth_notional_ask_struct50_fut_900s,Bookshape,B2_bookshape,0.9641,16.833189,16.594036
0,696,19,liq_concentration_bid_spot_struct100_60s_btc,liq_concentration_bid_spot_struct100_60s,Bookshape,B2_bookshape,0.9497,39.801773,34.450577
0,696,20,depth_gradient_bid_spot_struct100_60s_btc,depth_gradient_bid_spot_struct100_60s,Bookshape,B2_bookshape,-0.9449,20.150776,25.431257
0,696,21,liq_concentration_bid_fut_struct100_300s_btc,liq_concentration_bid_fut_struct100_300s,Bookshape,B2_bookshape,0.926,122.831085,109.907928
0,696,22,liq_sum_spot_900s_btc,liq_sum_spot_900s,Bookshape,B2_bookshape,0.9137,6334066.0,4608001.0
0,696,23,depth_notional_ask_struct50_fut_300s_eth,depth_notional_ask_struct50_fut_300s,Bookshape,B2_bookshape,0.8979,16.855343,16.611931
0,696,24,liq_concentration_ask_spot_struct100_900s_btc,liq_concentration_ask_spot_struct100_900s,Bookshape,B2_bookshape,0.8933,579.296448,513.506287
0,696,25,liq_sum_fut_60s_btc,liq_sum_fut_60s,Bookshape,B2_bookshape,0.8932,16.287935,15.94421
0,696,26,depth_gradient_ask_spot_struct100_900s_btc,depth_gradient_ask_spot_struct100_900s,Bookshape,B2_bookshape,-0.8878,319.680756,383.686401
0,696,27,liq_concentration_ask_spot_struct100_300s_btc,liq_concentration_ask_spot_struct100_300s,Bookshape,B2_bookshape,0.8841,191.941727,169.788239
0,696,28,volume_fut_div_delta_900s_btc,volume_fut_div_delta_900s,Cross-Market,B4_cross_market,0.8744,510.230652,330.746155
