cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,85,1,mad_net_pressure_spot_1bps_60s_btc,mad_net_pressure_spot_1bps_60s,Dynamics,B5_dynamics,5.3539,1.060848,0.092617
0,85,2,fill_rate_ahead_fut_1bps_15s_eth,fill_rate_ahead_fut_1bps_15s,Liquidity Events,B3_flow,4.4469,697983.4375,36829.480469
0,85,3,median_net_pressure_spot_1bps_60s_btc,median_net_pressure_spot_1bps_60s,Dynamics,B5_dynamics,-4.0822,-1.859351,-0.020269
0,85,4,reclaimed_week_open_900s_fut_btc,reclaimed_week_open_900s_fut,Level Events,B6_context,3.9798,0.964706,0.055278
0,85,5,median_pull_rate_fut_5bps_60s_eth,median_pull_rate_fut_5bps_60s,Dynamics,B5_dynamics,3.6061,10.067739,0.825452
0,85,6,depth_gradient_bid_fut_struct50_60s_btc,depth_gradient_bid_fut_struct50_60s,Bookshape,B2_bookshape,3.5657,13.445781,2.062623
0,85,7,fill_rate_ahead_spot_1bps_15s_eth,fill_rate_ahead_spot_1bps_15s,Liquidity Events,B3_flow,3.4927,485166.21875,57463.871094
0,85,8,refill_rate_fut_10bps_60s_btc,refill_rate_fut_10bps_60s,Liquidity Events,B3_flow,3.4705,0.153763,0.06741
0,85,9,notional_fut_1s_eth,notional_fut_1s,Activity,B3_flow,-3.4243,3.355521,13.296584
0,85,10,taker_buy_notional_fut_1s_eth,taker_buy_notional_fut_1s,Aggression,B1_imbalance,-3.2765,3.155645,12.501525
0,85,11,taker_sell_notional_fut_1s_eth,taker_sell_notional_fut_1s,Aggression,B1_imbalance,-3.2597,3.164371,12.413115
0,85,12,refill_rate_fut_5bps_60s_btc,refill_rate_fut_5bps_60s,Liquidity Events,B3_flow,3.1867,0.226847,0.114912
0,85,13,absorption_volume_bid_fut_1bps_1s_eth,absorption_volume_bid_fut_1bps_1s,Absorption,B3_flow,-3.1419,3.658721,16.535238
0,85,14,pull_rate_fut_5bps_60s_eth,pull_rate_fut_5bps_60s,Liquidity Events,B3_flow,3.1366,9.992864,1.063396
0,85,15,absorption_volume_ask_fut_1bps_1s_eth,absorption_volume_ask_fut_1bps_1s,Absorption,B3_flow,-3.0837,3.855764,16.452936
0,85,16,median_pull_rate_fut_5bps_60s_btc,median_pull_rate_fut_5bps_60s,Dynamics,B5_dynamics,3.0715,9.058141,0.874173
