method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca150_k8,eth,30s,30,8,0,-1,898,15,1.72,1.981,0.868
kmeans,pca150_k8,eth,30s,30,8,0,-1,898,30,3.068,3.025,1.014
kmeans,pca150_k8,eth,30s,30,8,0,-1,898,60,5.503,5.066,1.086
kmeans,pca150_k8,eth,30s,30,8,0,-1,898,120,8.293,7.626,1.088
kmeans,pca150_k8,eth,30s,30,8,0,-1,898,300,12.941,11.496,1.126
kmeans,pca150_k8,eth,30s,30,8,1,-1,2052,15,1.881,1.839,1.023
kmeans,pca150_k8,eth,30s,30,8,1,-1,2052,30,3.187,2.802,1.137
kmeans,pca150_k8,eth,30s,30,8,1,-1,2052,60,4.773,4.479,1.066
kmeans,pca150_k8,eth,30s,30,8,1,-1,2052,120,7.226,6.445,1.121
kmeans,pca150_k8,eth,30s,30,8,1,-1,2052,300,12.032,11.279,1.067
kmeans,pca150_k8,eth,30s,30,8,2,1,327,15,1.245,1.199,1.038
kmeans,pca150_k8,eth,30s,30,8,2,1,327,30,1.943,1.882,1.032
kmeans,pca150_k8,eth,30s,30,8,2,1,327,60,3.186,3.719,0.857
kmeans,pca150_k8,eth,30s,30,8,2,1,327,120,5.17,6.147,0.841
kmeans,pca150_k8,eth,30s,30,8,2,1,327,300,8.375,10.935,0.766
kmeans,pca150_k8,eth,30s,30,8,3,1,1906,15,1.574,1.907,0.825
kmeans,pca150_k8,eth,30s,30,8,3,1,1906,30,2.649,3.073,0.862
kmeans,pca150_k8,eth,30s,30,8,3,1,1906,60,4.329,4.459,0.971
kmeans,pca150_k8,eth,30s,30,8,3,1,1906,120,6.382,6.55,0.974
kmeans,pca150_k8,eth,30s,30,8,3,1,1906,300,11.405,11.379,1.002
kmeans,pca150_k8,eth,30s,30,8,4,-1,2191,15,1.468,1.751,0.838
kmeans,pca150_k8,eth,30s,30,8,4,-1,2191,30,2.49,2.802,0.888
kmeans,pca150_k8,eth,30s,30,8,4,-1,2191,60,4.0,4.392,0.911
kmeans,pca150_k8,eth,30s,30,8,4,-1,2191,120,6.411,6.603,0.971
kmeans,pca150_k8,eth,30s,30,8,4,-1,2191,300,11.83,11.914,0.993
kmeans,pca150_k8,eth,30s,30,8,5,-1,2176,15,1.509,1.622,0.93
kmeans,pca150_k8,eth,30s,30,8,5,-1,2176,30,2.578,2.542,1.014
kmeans,pca150_k8,eth,30s,30,8,5,-1,2176,60,4.125,4.086,1.009
kmeans,pca150_k8,eth,30s,30,8,5,-1,2176,120,6.346,6.26,1.014
kmeans,pca150_k8,eth,30s,30,8,5,-1,2176,300,11.183,10.742,1.041
kmeans,pca150_k8,eth,30s,30,8,7,-1,2296,15,1.766,1.476,1.197
kmeans,pca150_k8,eth,30s,30,8,7,-1,2296,30,2.893,2.357,1.227
kmeans,pca150_k8,eth,30s,30,8,7,-1,2296,60,4.418,3.976,1.111
kmeans,pca150_k8,eth,30s,30,8,7,-1,2296,120,6.223,6.383,0.975
kmeans,pca150_k8,eth,30s,30,8,7,-1,2296,300,9.746,10.46,0.932
