method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca50_k8,50,eth,30s,30,8,0,1,1s,0.5063,1029
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,1s,0.5276,199
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,1s,0.5501,1765
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,1s,0.5325,492
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,1s,0.5499,451
kmeans,pca50_k8,50,eth,30s,30,8,5,1,1s,0.4693,522
kmeans,pca50_k8,50,eth,30s,30,8,7,1,1s,0.3548,31
kmeans,pca50_k8,50,eth,30s,30,8,0,1,5s,0.5142,1054
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,5s,0.545,200
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,5s,0.5784,1874
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,5s,0.5247,507
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,5s,0.5104,482
kmeans,pca50_k8,50,eth,30s,30,8,5,1,5s,0.488,543
kmeans,pca50_k8,50,eth,30s,30,8,7,1,5s,0.4889,45
kmeans,pca50_k8,50,eth,30s,30,8,0,1,15s,0.5052,1055
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,15s,0.6318,201
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,15s,0.5902,1879
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,15s,0.6233,507
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,15s,0.5593,481
kmeans,pca50_k8,50,eth,30s,30,8,5,1,15s,0.4286,546
kmeans,pca50_k8,50,eth,30s,30,8,7,1,15s,0.6364,44
kmeans,pca50_k8,50,eth,30s,30,8,0,1,30s,0.4564,1056
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,30s,0.7114,201
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,30s,0.5618,1878
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,30s,0.6719,509
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,30s,0.5103,484
kmeans,pca50_k8,50,eth,30s,30,8,5,1,30s,0.4322,546
kmeans,pca50_k8,50,eth,30s,30,8,7,1,30s,0.6444,45
kmeans,pca50_k8,50,eth,30s,30,8,0,1,60s,0.4303,1055
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,60s,0.7612,201
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,60s,0.5498,1879
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,60s,0.6398,508
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,60s,0.4596,483
kmeans,pca50_k8,50,eth,30s,30,8,5,1,60s,0.4359,546
kmeans,pca50_k8,50,eth,30s,30,8,7,1,60s,0.0606,33
kmeans,pca50_k8,50,eth,30s,30,8,0,1,120s,0.4758,1055
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,120s,0.5124,201
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,120s,0.5407,1868
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,120s,0.5571,508
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,120s,0.5417,480
kmeans,pca50_k8,50,eth,30s,30,8,5,1,120s,0.3455,547
kmeans,pca50_k8,50,eth,30s,30,8,7,1,120s,0.6,20
kmeans,pca50_k8,50,eth,30s,30,8,0,1,300s,0.5606,1056
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,300s,0.6368,201
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,300s,0.5593,1863
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,300s,0.5551,508
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,300s,0.4969,483
kmeans,pca50_k8,50,eth,30s,30,8,5,1,300s,0.4442,547
kmeans,pca50_k8,50,eth,30s,30,8,0,1,900s,0.5441,1055
kmeans,pca50_k8,50,eth,30s,30,8,1,-1,900s,0.585,200
kmeans,pca50_k8,50,eth,30s,30,8,2,-1,900s,0.5107,1862
kmeans,pca50_k8,50,eth,30s,30,8,3,-1,900s,0.4803,508
kmeans,pca50_k8,50,eth,30s,30,8,4,-1,900s,0.5021,482
kmeans,pca50_k8,50,eth,30s,30,8,5,1,900s,0.2901,548
kmeans,pca50_k8,50,eth,30s,30,8,7,1,900s,0.1111,45
