asset,hz,thr_bps,pca_dim,k,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm,bh_q,above_null_p95,above_null_p99
eth,1s,10,600,6,1.018,0.3616,0.979,1.33,1.599,1000,0.49402270742358073,False,False
eth,30s,10,600,6,1.06,0.0629,0.893,1.087,1.23,1000,0.173670796460177,False,False
eth,30s,15,600,6,1.229,0.1049,0.897,1.353,1.555,1000,0.22416986301369862,False,False
eth,30s,20,600,6,1.244,0.004,0.903,1.01,1.128,1000,0.026,True,True
eth,30s,30,600,6,1.103,0.3536,0.962,1.743,2.392,1000,0.49402270742358073,False,False
eth,30s,40,600,6,1.168,0.2597,0.968,1.823,2.401,1000,0.4031164179104477,False,False
eth,5s,10,600,6,1.003,0.4525,0.956,2.05,2.617,1000,0.5766315789473684,False,False
eth,5s,15,600,6,1.299,0.0719,0.897,1.362,1.637,1000,0.18594193548387097,False,False
eth,5s,20,600,6,0.78,0.8462,0.905,1.728,2.088,1000,0.8889373737373736,False,False
btc,15s,10,600,8,1.034,0.3626,1.026,1.093,1.133,1000,0.49402270742358073,False,False
btc,15s,15,600,8,1.15,0.2498,1.099,1.29,1.412,1000,0.39362424242424243,False,False
btc,15s,20,600,8,1.16,0.3606,1.111,1.629,2.036,1000,0.49402270742358073,False,False
btc,15s,30,600,8,2.596,0.036,1.55,2.47,3.03,1000,0.1248,True,False
btc,30s,10,600,8,1.08,0.024,1.019,1.065,1.093,1000,0.10118918918918919,True,False
btc,30s,15,600,8,1.118,0.1638,1.089,1.166,1.225,1000,0.31742608695652175,False,False
btc,30s,20,600,8,3.06,0.001,1.137,1.424,1.609,1000,0.008432432432432432,True,True
btc,30s,30,600,8,1.455,0.1948,1.326,1.644,1.893,1000,0.34726956521739133,False,False
btc,30s,40,600,8,5.904,0.001,1.58,2.173,2.526,1000,0.008432432432432432,True,True
btc,5s,10,600,8,1.099,0.5554,1.11,1.365,1.559,1000,0.6539049056603773,False,False
btc,5s,15,600,8,1.363,0.0789,1.21,1.396,1.547,1000,0.19537142857142856,False,False
eth,15s,10,600,8,0.993,0.6513,1.008,1.21,1.295,1000,0.7151915789473684,False,False
eth,15s,15,600,8,1.049,0.4565,1.039,1.55,1.891,1000,0.5766315789473684,False,False
eth,15s,20,600,8,1.043,0.3556,1.029,1.137,1.197,1000,0.49402270742358073,False,False
eth,15s,30,600,8,1.079,0.7203,1.12,1.726,2.286,1000,0.7722804123711341,False,False
eth,15s,40,600,8,3.415,0.001,1.344,2.02,2.402,1000,0.008432432432432432,True,True
eth,1s,10,600,8,0.988,0.6134,1.018,1.412,1.688,1000,0.6909054151624549,False,False
eth,30s,10,600,8,1.539,0.001,1.038,1.188,1.264,1000,0.008432432432432432,True,True
eth,30s,15,600,8,1.91,0.001,1.081,1.299,1.433,1000,0.008432432432432432,True,True
eth,30s,20,600,8,1.373,0.0739,1.085,1.434,1.663,1000,0.18594193548387097,False,False
eth,30s,30,600,8,1.193,0.2498,1.117,1.432,1.592,1000,0.39362424242424243,False,False
eth,30s,40,600,8,1.298,0.2517,1.222,1.615,1.952,1000,0.3946251256281407,False,False
eth,5s,10,600,8,1.037,0.6973,1.067,1.813,2.422,1000,0.7527944636678201,False,False
eth,5s,15,600,8,1.306,0.028,1.086,1.255,1.408,1000,0.10785185185185187,True,False
eth,5s,20,600,8,1.62,0.001,1.139,1.277,1.388,1000,0.008432432432432432,True,True
