method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca300_k8,eth,30s,30,8,0,-1,875,15,1.629,2.029,0.803
kmeans,pca300_k8,eth,30s,30,8,0,-1,875,30,2.994,3.1,0.966
kmeans,pca300_k8,eth,30s,30,8,0,-1,875,60,5.5,5.2,1.058
kmeans,pca300_k8,eth,30s,30,8,0,-1,875,120,8.449,7.753,1.09
kmeans,pca300_k8,eth,30s,30,8,0,-1,875,300,13.182,11.403,1.156
kmeans,pca300_k8,eth,30s,30,8,1,-1,1346,15,1.767,1.341,1.318
kmeans,pca300_k8,eth,30s,30,8,1,-1,1346,30,2.843,2.109,1.348
kmeans,pca300_k8,eth,30s,30,8,1,-1,1346,60,4.06,3.929,1.033
kmeans,pca300_k8,eth,30s,30,8,1,-1,1346,120,5.869,6.652,0.882
kmeans,pca300_k8,eth,30s,30,8,1,-1,1346,300,8.959,11.096,0.807
kmeans,pca300_k8,eth,30s,30,8,2,-1,2832,15,1.474,1.625,0.907
kmeans,pca300_k8,eth,30s,30,8,2,-1,2832,30,2.543,2.546,0.999
kmeans,pca300_k8,eth,30s,30,8,2,-1,2832,60,4.084,4.109,0.994
kmeans,pca300_k8,eth,30s,30,8,2,-1,2832,120,6.23,6.293,0.99
kmeans,pca300_k8,eth,30s,30,8,2,-1,2832,300,11.047,11.299,0.978
kmeans,pca300_k8,eth,30s,30,8,3,-1,2094,15,1.984,1.884,1.053
kmeans,pca300_k8,eth,30s,30,8,3,-1,2094,30,3.294,2.93,1.124
kmeans,pca300_k8,eth,30s,30,8,3,-1,2094,60,4.874,4.59,1.062
kmeans,pca300_k8,eth,30s,30,8,3,-1,2094,120,7.31,6.37,1.148
kmeans,pca300_k8,eth,30s,30,8,3,-1,2094,300,12.35,10.933,1.13
kmeans,pca300_k8,eth,30s,30,8,4,-1,2164,15,1.605,1.775,0.904
kmeans,pca300_k8,eth,30s,30,8,4,-1,2164,30,2.724,2.848,0.956
kmeans,pca300_k8,eth,30s,30,8,4,-1,2164,60,4.26,4.406,0.967
kmeans,pca300_k8,eth,30s,30,8,4,-1,2164,120,6.493,6.462,1.005
kmeans,pca300_k8,eth,30s,30,8,4,-1,2164,300,11.355,10.119,1.122
kmeans,pca300_k8,eth,30s,30,8,6,1,337,15,1.221,1.289,0.948
kmeans,pca300_k8,eth,30s,30,8,6,1,337,30,1.913,2.181,0.877
kmeans,pca300_k8,eth,30s,30,8,6,1,337,60,3.128,4.355,0.718
kmeans,pca300_k8,eth,30s,30,8,6,1,337,120,5.187,6.745,0.769
kmeans,pca300_k8,eth,30s,30,8,6,1,337,300,8.197,11.838,0.692
kmeans,pca300_k8,eth,30s,30,8,7,1,2198,15,1.495,1.806,0.828
kmeans,pca300_k8,eth,30s,30,8,7,1,2198,30,2.503,2.867,0.873
kmeans,pca300_k8,eth,30s,30,8,7,1,2198,60,4.09,4.364,0.937
kmeans,pca300_k8,eth,30s,30,8,7,1,2198,120,6.39,6.526,0.979
kmeans,pca300_k8,eth,30s,30,8,7,1,2198,300,12.265,11.33,1.082
