method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca150_k8,150,eth,30s,30,8,0,1,1s,0.5144,801
kmeans,pca150_k8,150,eth,30s,30,8,1,1,1s,0.4395,1504
kmeans,pca150_k8,150,eth,30s,30,8,3,1,1s,0.4647,1091
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,1s,0.4961,385
kmeans,pca150_k8,150,eth,30s,30,8,5,1,1s,0.4706,374
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,1s,0.5486,319
kmeans,pca150_k8,150,eth,30s,30,8,0,1,5s,0.5385,819
kmeans,pca150_k8,150,eth,30s,30,8,1,1,5s,0.4273,1575
kmeans,pca150_k8,150,eth,30s,30,8,2,1,5s,0.3103,29
kmeans,pca150_k8,150,eth,30s,30,8,3,1,5s,0.4574,1163
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,5s,0.5377,398
kmeans,pca150_k8,150,eth,30s,30,8,5,1,5s,0.4845,388
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,5s,0.5195,333
kmeans,pca150_k8,150,eth,30s,30,8,0,1,15s,0.5159,820
kmeans,pca150_k8,150,eth,30s,30,8,1,1,15s,0.3985,1576
kmeans,pca150_k8,150,eth,30s,30,8,2,1,15s,0.5357,28
kmeans,pca150_k8,150,eth,30s,30,8,3,1,15s,0.4547,1170
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,15s,0.5707,396
kmeans,pca150_k8,150,eth,30s,30,8,5,1,15s,0.3529,391
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,15s,0.5904,332
kmeans,pca150_k8,150,eth,30s,30,8,0,1,30s,0.4287,821
kmeans,pca150_k8,150,eth,30s,30,8,1,1,30s,0.3971,1579
kmeans,pca150_k8,150,eth,30s,30,8,2,1,30s,0.4828,29
kmeans,pca150_k8,150,eth,30s,30,8,3,1,30s,0.5163,1168
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,30s,0.5729,398
kmeans,pca150_k8,150,eth,30s,30,8,5,1,30s,0.3376,391
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,30s,0.5976,333
kmeans,pca150_k8,150,eth,30s,30,8,0,1,60s,0.3956,819
kmeans,pca150_k8,150,eth,30s,30,8,1,1,60s,0.4046,1577
kmeans,pca150_k8,150,eth,30s,30,8,2,1,60s,0.0,29
kmeans,pca150_k8,150,eth,30s,30,8,3,1,60s,0.5203,1157
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,60s,0.5338,399
kmeans,pca150_k8,150,eth,30s,30,8,5,1,60s,0.3555,391
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,60s,0.5706,333
kmeans,pca150_k8,150,eth,30s,30,8,0,1,120s,0.4463,820
kmeans,pca150_k8,150,eth,30s,30,8,1,1,120s,0.427,1562
kmeans,pca150_k8,150,eth,30s,30,8,3,1,120s,0.5225,1158
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,120s,0.585,400
kmeans,pca150_k8,150,eth,30s,30,8,5,1,120s,0.3974,390
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,120s,0.5994,332
kmeans,pca150_k8,150,eth,30s,30,8,0,1,300s,0.5213,821
kmeans,pca150_k8,150,eth,30s,30,8,1,1,300s,0.4288,1558
kmeans,pca150_k8,150,eth,30s,30,8,3,1,300s,0.5022,1161
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,300s,0.5225,400
kmeans,pca150_k8,150,eth,30s,30,8,5,1,300s,0.4473,389
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,300s,0.5329,334
kmeans,pca150_k8,150,eth,30s,30,8,0,1,900s,0.4909,821
kmeans,pca150_k8,150,eth,30s,30,8,1,1,900s,0.4611,1557
kmeans,pca150_k8,150,eth,30s,30,8,2,1,900s,0.0,29
kmeans,pca150_k8,150,eth,30s,30,8,3,1,900s,0.5316,1170
kmeans,pca150_k8,150,eth,30s,30,8,4,-1,900s,0.585,400
kmeans,pca150_k8,150,eth,30s,30,8,5,1,900s,0.4641,390
kmeans,pca150_k8,150,eth,30s,30,8,7,-1,900s,0.5616,333
