method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca300_k8,300,btc,30s,30,8,4,40,5.573,0.683,8.164,1.876,2.971,-1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,0,37,5.886,1.533,3.838,1.981,2.971,1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,1,220,4.347,2.037,2.133,1.463,2.971,-1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,2,737,4.038,2.785,1.45,1.359,2.971,-1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,6,1047,3.508,2.601,1.349,1.181,2.971,-1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,3,1024,2.947,2.511,1.174,0.992,2.971,-1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,7,380,4.541,3.916,1.16,1.528,2.971,1,8.164,0.001,1.361,1.998,2.349,1000
kmeans,pca300_k8,300,btc,30s,30,8,5,712,3.568,4.202,0.849,1.201,2.971,-1,8.164,0.001,1.361,1.998,2.349,1000
