cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
7,2198,3,absorption_asymmetry_fut_1bps_60s_eth,absorption_asymmetry_fut_1bps_60s,Absorption,B3_flow,0.9721,0.335001,-0.07601
7,2198,4,price_vs_va_60m_fut_eth,price_vs_va_60m_fut,Volume Profile,B6_context,-0.9458,0.451319,1.112713
7,2198,5,absorption_asymmetry_spot_1bps_60s_eth,absorption_asymmetry_spot_1bps_60s,Absorption,B3_flow,0.9053,0.389189,-0.043102
7,2198,6,price_vs_va_60m_fut_btc,price_vs_va_60m_fut,Volume Profile,B6_context,-0.8932,0.489536,1.106137
7,2198,7,price_vs_va_240m_fut_eth,price_vs_va_240m_fut,Volume Profile,B6_context,-0.8765,0.510009,1.123504
7,2198,8,absorption_asymmetry_spot_1bps_60s_btc,absorption_asymmetry_spot_1bps_60s,Absorption,B3_flow,0.8605,0.427521,-0.01311
7,2198,9,price_vs_va_240m_fut_btc,price_vs_va_240m_fut,Volume Profile,B6_context,-0.8591,0.50364,1.088602
7,2198,10,trade_count_spot_300s_eth,trade_count_spot_300s,Activity,B3_flow,-0.8417,10.253001,10.808178
7,2198,11,queue_pressure_persist_spot_1bps_300s_eth,queue_pressure_persist_spot_1bps_300s,Dynamics,B5_dynamics,0.8416,0.500458,0.323504
7,2198,12,price_vs_ema_50_5m_bps_fut_eth,price_vs_ema_50_5m_bps_fut,Trend,B6_context,-0.8376,-90.583481,51.531567
7,2198,13,trade_count_spot_900s_eth,trade_count_spot_900s,Activity,B3_flow,-0.8336,11.028163,11.612522
7,2198,14,taker_imbalance_fut_15s_btc,taker_imbalance_fut_15s,Aggression,B1_imbalance,-0.8256,-0.206347,0.030426
7,2198,15,liq_concentration_spot_struct50_60s_eth,liq_concentration_spot_struct50_60s,Bookshape,B2_bookshape,0.8132,1.18808,1.024037
7,2198,16,median_refill_rate_spot_5bps_60s_eth,median_refill_rate_spot_5bps_60s,Dynamics,B5_dynamics,-0.7931,0.078939,0.114414
7,2198,17,median_refill_rate_spot_1bps_60s_btc,median_refill_rate_spot_1bps_60s,Dynamics,B5_dynamics,-0.7921,0.217544,0.30174
7,2198,18,queue_pressure_persist_spot_1bps_900s_btc,queue_pressure_persist_spot_1bps_900s,Dynamics,B5_dynamics,0.7874,0.605074,0.436395
7,2198,19,absorption_asymmetry_fut_1bps_15s_eth,absorption_asymmetry_fut_1bps_15s,Absorption,B3_flow,0.7811,0.307951,-0.061628
7,2198,20,absorption_asymmetry_fut_1bps_15s_btc,absorption_asymmetry_fut_1bps_15s,Absorption,B3_flow,0.7805,0.350503,-0.042017
7,2198,21,trade_count_spot_900s_btc,trade_count_spot_900s,Activity,B3_flow,-0.7768,10.900853,11.420198
7,2198,22,price_vs_ema_50_15m_bps_fut_eth,price_vs_ema_50_15m_bps_fut,Trend,B6_context,-0.7762,-99.74015,75.111
7,2198,23,volume_spot_900s_eth,volume_spot_900s,Activity,B3_flow,-0.769,8.698307,9.288676
7,2198,24,depth_notional_bid_struct100_spot_1s_eth,depth_notional_bid_struct100_spot_1s,Bookshape,B2_bookshape,0.7653,7912043.5,6305887.5
7,2198,25,median_refill_rate_spot_5bps_60s_btc,median_refill_rate_spot_5bps_60s,Dynamics,B5_dynamics,-0.7636,0.065568,0.096348
7,2198,26,taker_imbalance_fut_60s_btc,taker_imbalance_fut_60s,Aggression,B1_imbalance,-0.7598,-0.127715,0.017147
7,2198,27,volume_fut_900s_btc,volume_fut_900s,Activity,B3_flow,-0.7572,7.884894,8.472917
7,2198,28,depth_imbalance_struct100_fut_1s_eth,depth_imbalance_struct100_fut_1s,Imbalance,B1_imbalance,0.7564,0.13064,0.011872
7,2198,29,price_vs_ema_200_5m_bps_fut_eth,price_vs_ema_200_5m_bps_fut,Trend,B6_context,-0.7525,-100.259674,82.546432
7,2198,30,taker_imbalance_fut_15s_eth,taker_imbalance_fut_15s,Aggression,B1_imbalance,-0.7467,-0.168515,0.022913
7,2198,31,median_refill_rate_spot_1bps_60s_eth,median_refill_rate_spot_1bps_60s,Dynamics,B5_dynamics,-0.7436,0.276796,0.349079
7,2198,32,volume_spot_900s_btc,volume_spot_900s,Activity,B3_flow,-0.7431,5.582751,6.146544
7,2198,33,median_refill_rate_fut_1bps_60s_btc,median_refill_rate_fut_1bps_60s,Dynamics,B5_dynamics,-0.7428,0.227731,0.291169
7,2198,34,queue_pressure_persist_spot_1bps_900s_eth,queue_pressure_persist_spot_1bps_900s,Dynamics,B5_dynamics,0.739,0.558385,0.403384
7,2198,35,depth_gradient_spot_struct50_60s_eth,depth_gradient_spot_struct50_60s,Bookshape,B2_bookshape,-0.7349,0.928461,1.001799
7,2198,36,refill_rate_spot_5bps_60s_eth,refill_rate_spot_5bps_60s,Liquidity Events,B3_flow,-0.7346,0.100481,0.129207
7,2198,37,trend_aligned_15m_fut_btc,trend_aligned_15m_fut,Trend,B6_context,-0.7318,-0.338944,0.242202
7,2198,38,depth_notional_bid_struct100_fut_1s_eth,depth_notional_bid_struct100_fut_1s,Bookshape,B2_bookshape,0.7257,17.777103,17.581385
7,2198,39,absorption_asymmetry_spot_1bps_15s_btc,absorption_asymmetry_spot_1bps_15s,Absorption,B3_flow,0.7194,0.431163,0.001899
7,2198,40,refill_rate_spot_2bps_60s_eth,refill_rate_spot_2bps_60s,Liquidity Events,B3_flow,-0.7164,0.253342,0.307174
7,2198,41,taker_imbalance_shock_fut_60s_eth,taker_imbalance_shock_fut_60s,Dynamics,B5_dynamics,-0.7112,-0.840679,0.110786
7,2198,42,median_refill_rate_spot_10bps_60s_eth,median_refill_rate_spot_10bps_60s,Dynamics,B5_dynamics,-0.7079,0.040944,0.06178
7,2198,43,absorption_asymmetry_spot_1bps_15s_eth,absorption_asymmetry_spot_1bps_15s,Absorption,B3_flow,0.7056,0.34973,-0.034645
7,2198,44,volume_fut_900s_eth,volume_fut_900s,Activity,B3_flow,-0.7044,11.352309,11.859464
7,2198,45,liq_concentration_spot_struct50_300s_eth,liq_concentration_spot_struct50_300s,Bookshape,B2_bookshape,0.7039,1.137704,1.027581
7,2198,46,depth_gradient_spot_struct50_300s_eth,depth_gradient_spot_struct50_300s,Bookshape,B2_bookshape,-0.6975,0.945606,0.99467
7,2198,47,median_refill_rate_fut_5bps_60s_eth,median_refill_rate_fut_5bps_60s,Dynamics,B5_dynamics,-0.6952,0.074747,0.104628
7,2198,48,trade_count_spot_share_300s_eth,trade_count_spot_share_300s,Cross-Market,B4_cross_market,-0.6927,0.285683,0.324691
7,2198,49,trade_count_sf_share_300s_eth,trade_count_sf_share_300s,Cross-Market,B4_cross_market,0.6908,0.71309,0.674482
7,2198,50,median_refill_rate_fut_1bps_60s_eth,median_refill_rate_fut_1bps_60s,Dynamics,B5_dynamics,-0.6906,0.25827,0.309082
