method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca50_k8,50,eth,30s,30,8,4,1831,4.855,4.118,1.179,1.153,4.211,-1,1.179,0.0779,1.089,1.195,1.28,1000
kmeans,pca50_k8,50,eth,30s,30,8,2,2583,4.77,4.42,1.079,1.133,4.211,-1,1.179,0.0779,1.089,1.195,1.28,1000
kmeans,pca50_k8,50,eth,30s,30,8,3,2669,4.179,4.054,1.031,0.993,4.211,-1,1.179,0.0779,1.089,1.195,1.28,1000
kmeans,pca50_k8,50,eth,30s,30,8,0,1138,5.208,5.17,1.007,1.237,4.211,-1,1.179,0.0779,1.089,1.195,1.28,1000
kmeans,pca50_k8,50,eth,30s,30,8,5,2094,3.992,4.387,0.91,0.948,4.211,-1,1.179,0.0779,1.089,1.195,1.28,1000
kmeans,pca50_k8,50,eth,30s,30,8,1,1239,3.507,4.072,0.861,0.833,4.211,-1,1.179,0.0779,1.089,1.195,1.28,1000
kmeans,pca50_k8,50,eth,30s,30,8,7,292,3.259,4.049,0.805,0.774,4.211,1,1.179,0.0779,1.089,1.195,1.28,1000
