method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,1s,0.5406,640
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,1s,0.4602,113
kmeans,pca50_k8,50,btc,30s,30,8,3,1,1s,0.4255,47
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,1s,0.5435,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,1s,0.5353,312
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,1s,0.4713,87
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,5s,0.5319,658
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,5s,0.4803,127
kmeans,pca50_k8,50,btc,30s,30,8,3,1,5s,0.4082,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,5s,0.6087,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,5s,0.5137,329
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,5s,0.5889,90
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,15s,0.5766,659
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,15s,0.5118,127
kmeans,pca50_k8,50,btc,30s,30,8,3,1,15s,0.3061,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,15s,0.8043,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,15s,0.5659,334
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,15s,0.6374,91
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,30s,0.5961,661
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,30s,0.4646,127
kmeans,pca50_k8,50,btc,30s,30,8,3,1,30s,0.5102,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,30s,0.7391,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,30s,0.5701,335
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,30s,0.8791,91
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,60s,0.6282,659
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,60s,0.4524,126
kmeans,pca50_k8,50,btc,30s,30,8,3,1,60s,0.7347,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,60s,0.8696,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,60s,0.6042,336
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,60s,0.7912,91
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,120s,0.5985,660
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,120s,0.456,125
kmeans,pca50_k8,50,btc,30s,30,8,3,1,120s,0.4898,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,120s,0.6522,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,120s,0.5761,335
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,120s,0.5495,91
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,300s,0.643,661
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,300s,0.3145,124
kmeans,pca50_k8,50,btc,30s,30,8,3,1,300s,0.2449,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,300s,0.7391,46
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,300s,0.5015,335
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,300s,0.6444,90
kmeans,pca50_k8,50,btc,30s,30,8,0,-1,900s,0.5598,661
kmeans,pca50_k8,50,btc,30s,30,8,1,-1,900s,0.4882,127
kmeans,pca50_k8,50,btc,30s,30,8,3,1,900s,0.3469,49
kmeans,pca50_k8,50,btc,30s,30,8,4,-1,900s,0.5556,45
kmeans,pca50_k8,50,btc,30s,30,8,5,-1,900s,0.5373,335
kmeans,pca50_k8,50,btc,30s,30,8,6,-1,900s,0.5824,91
