method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca300_k8,300,eth,30s,30,8,3,2094,4.874,4.59,1.062,1.157,4.211,-1,1.062,0.8811,1.09,1.191,1.265,1000
kmeans,pca300_k8,300,eth,30s,30,8,0,875,5.5,5.2,1.058,1.306,4.211,-1,1.062,0.8811,1.09,1.191,1.265,1000
kmeans,pca300_k8,300,eth,30s,30,8,1,1346,4.06,3.929,1.033,0.964,4.211,-1,1.062,0.8811,1.09,1.191,1.265,1000
kmeans,pca300_k8,300,eth,30s,30,8,2,2832,4.084,4.109,0.994,0.97,4.211,-1,1.062,0.8811,1.09,1.191,1.265,1000
kmeans,pca300_k8,300,eth,30s,30,8,4,2164,4.26,4.406,0.967,1.012,4.211,-1,1.062,0.8811,1.09,1.191,1.265,1000
kmeans,pca300_k8,300,eth,30s,30,8,7,2198,4.09,4.364,0.937,0.971,4.211,1,1.062,0.8811,1.09,1.191,1.265,1000
kmeans,pca300_k8,300,eth,30s,30,8,6,337,3.128,4.355,0.718,0.743,4.211,1,1.062,0.8811,1.09,1.191,1.265,1000
