cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,898,1,broke_prev_day_low_900s_fut_eth,broke_prev_day_low_900s_fut,Level Events,B6_context,2.4315,0.759465,0.084219
0,898,2,broke_prev_day_low_900s_fut_btc,broke_prev_day_low_900s_fut,Level Events,B6_context,2.2795,0.691537,0.078486
0,898,3,broke_prev_day_low_300s_fut_eth,broke_prev_day_low_300s_fut,Level Events,B6_context,2.0555,0.557906,0.062047
0,898,4,below_prev_day_low_fut_eth,below_prev_day_low_fut,Level Events,B6_context,1.9928,0.919822,0.17046
0,898,5,broke_prev_day_low_300s_fut_btc,broke_prev_day_low_300s_fut,Level Events,B6_context,1.8213,0.458797,0.052521
0,898,6,queue_pressure_spot_10bps_60s_eth,queue_pressure_spot_10bps_60s,Pressure,B1_imbalance,1.8157,0.2516,-0.014566
0,898,7,median_queue_pressure_spot_10bps_60s_eth,median_queue_pressure_spot_10bps_60s,Dynamics,B5_dynamics,1.8004,0.249129,-0.009969
0,898,8,below_prev_day_low_fut_btc,below_prev_day_low_fut,Level Events,B6_context,1.7501,0.806236,0.161777
0,898,9,net_cancel_spot_5bps_900s_btc,net_cancel_spot_5bps_900s,Pressure,B1_imbalance,-1.7347,-63067212.0,-274158.3125
0,898,10,price_vs_ema_50_5m_bps_fut_eth,price_vs_ema_50_5m_bps_fut,Trend,B6_context,-1.7031,-237.438156,51.531567
0,898,11,median_queue_pressure_spot_10bps_15s_eth,median_queue_pressure_spot_10bps_15s,Dynamics,B5_dynamics,1.6915,0.256474,-0.016385
0,898,12,queue_pressure_spot_10bps_15s_eth,queue_pressure_spot_10bps_15s,Pressure,B1_imbalance,1.6598,0.260316,-0.017644
0,898,13,median_queue_pressure_spot_5bps_60s_eth,median_queue_pressure_spot_5bps_60s,Dynamics,B5_dynamics,1.5586,0.230016,-0.015484
0,898,14,price_vs_ema_50_15m_bps_fut_eth,price_vs_ema_50_15m_bps_fut,Trend,B6_context,-1.531,-269.781647,75.111
