method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca600_k8,btc,30s,30,8,0,-1,132,15,0.74,1.213,0.61
kmeans,pca600_k8,btc,30s,30,8,0,-1,132,30,1.413,2.195,0.644
kmeans,pca600_k8,btc,30s,30,8,0,-1,132,60,4.452,3.059,1.455
kmeans,pca600_k8,btc,30s,30,8,0,-1,132,120,8.469,3.53,2.399
kmeans,pca600_k8,btc,30s,30,8,0,-1,132,300,13.549,4.346,3.117
kmeans,pca600_k8,btc,30s,30,8,1,-1,538,15,1.326,0.876,1.514
kmeans,pca600_k8,btc,30s,30,8,1,-1,538,30,2.366,1.453,1.628
kmeans,pca600_k8,btc,30s,30,8,1,-1,538,60,3.574,2.696,1.326
kmeans,pca600_k8,btc,30s,30,8,1,-1,538,120,5.618,4.228,1.329
kmeans,pca600_k8,btc,30s,30,8,1,-1,538,300,7.632,6.762,1.129
kmeans,pca600_k8,btc,30s,30,8,2,1,379,15,1.344,1.639,0.82
kmeans,pca600_k8,btc,30s,30,8,2,1,379,30,2.468,2.306,1.07
kmeans,pca600_k8,btc,30s,30,8,2,1,379,60,4.524,3.926,1.152
kmeans,pca600_k8,btc,30s,30,8,2,1,379,120,7.48,5.63,1.329
kmeans,pca600_k8,btc,30s,30,8,2,1,379,300,11.434,8.869,1.289
kmeans,pca600_k8,btc,30s,30,8,3,-1,639,15,1.008,1.046,0.964
kmeans,pca600_k8,btc,30s,30,8,3,-1,639,30,1.658,1.697,0.977
kmeans,pca600_k8,btc,30s,30,8,3,-1,639,60,3.02,2.712,1.114
kmeans,pca600_k8,btc,30s,30,8,3,-1,639,120,4.795,3.759,1.275
kmeans,pca600_k8,btc,30s,30,8,3,-1,639,300,8.861,7.407,1.196
kmeans,pca600_k8,btc,30s,30,8,4,-1,684,15,1.336,1.318,1.014
kmeans,pca600_k8,btc,30s,30,8,4,-1,684,30,2.164,2.003,1.08
kmeans,pca600_k8,btc,30s,30,8,4,-1,684,60,3.967,2.888,1.373
kmeans,pca600_k8,btc,30s,30,8,4,-1,684,120,6.251,4.038,1.548
kmeans,pca600_k8,btc,30s,30,8,4,-1,684,300,9.184,7.58,1.212
kmeans,pca600_k8,btc,30s,30,8,5,-1,1075,15,1.237,1.051,1.177
kmeans,pca600_k8,btc,30s,30,8,5,-1,1075,30,2.143,1.706,1.256
kmeans,pca600_k8,btc,30s,30,8,5,-1,1075,60,3.333,2.455,1.358
kmeans,pca600_k8,btc,30s,30,8,5,-1,1075,120,5.227,3.829,1.365
kmeans,pca600_k8,btc,30s,30,8,5,-1,1075,300,9.372,7.293,1.285
kmeans,pca600_k8,btc,30s,30,8,6,-1,667,15,1.783,1.753,1.017
kmeans,pca600_k8,btc,30s,30,8,6,-1,667,30,2.716,2.624,1.035
kmeans,pca600_k8,btc,30s,30,8,6,-1,667,60,3.711,4.062,0.914
kmeans,pca600_k8,btc,30s,30,8,6,-1,667,120,5.507,5.811,0.948
kmeans,pca600_k8,btc,30s,30,8,6,-1,667,300,8.971,8.731,1.028
kmeans,pca600_k8,btc,30s,30,8,7,1,83,15,0.594,1.517,0.391
kmeans,pca600_k8,btc,30s,30,8,7,1,83,30,1.291,2.174,0.594
kmeans,pca600_k8,btc,30s,30,8,7,1,83,60,1.547,2.802,0.552
kmeans,pca600_k8,btc,30s,30,8,7,1,83,120,1.598,3.897,0.41
kmeans,pca600_k8,btc,30s,30,8,7,1,83,300,2.35,3.946,0.596
