cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,1659,1,ema_slope_50_15m_bps_fut_eth,ema_slope_50_15m_bps_fut,Trend,B6_context,1.3542,12.276996,2.355885
0,1659,2,ema_slope_50_15m_bps_fut_btc,ema_slope_50_15m_bps_fut,Trend,B6_context,1.3011,8.861056,1.789238
0,1659,3,price_vs_ema_200_5m_bps_fut_eth,price_vs_ema_200_5m_bps_fut,Trend,B6_context,1.2253,380.202911,82.546432
0,1659,4,price_vs_ema_50_15m_bps_fut_eth,price_vs_ema_50_15m_bps_fut,Trend,B6_context,1.2147,348.744873,75.111
0,1659,5,ema_slope_200_15m_bps_fut_eth,ema_slope_200_15m_bps_fut,Trend,B6_context,1.208,4.155597,0.918152
0,1659,6,ema_slope_200_15m_bps_fut_btc,ema_slope_200_15m_bps_fut,Trend,B6_context,1.2006,3.25044,0.778583
0,1659,7,price_vs_ema_200_15m_bps_fut_eth,price_vs_ema_200_15m_bps_fut,Trend,B6_context,1.1574,462.527618,108.852501
0,1659,8,price_vs_ema_50_60m_bps_fut_eth,price_vs_ema_50_60m_bps_fut,Trend,B6_context,1.1574,462.527618,108.852501
0,1659,9,price_vs_ema_50_5m_bps_fut_eth,price_vs_ema_50_5m_bps_fut,Trend,B6_context,1.0688,232.887955,51.531567
0,1659,10,ema_slope_50_60m_bps_fut_btc,ema_slope_50_60m_bps_fut,Trend,B6_context,1.0513,10.862789,2.802037
0,1659,11,price_vs_ema_200_60m_bps_fut_eth,price_vs_ema_200_60m_bps_fut,Trend,B6_context,1.0467,551.015808,157.116135
0,1659,12,price_vs_ema_50_240m_bps_fut_eth,price_vs_ema_50_240m_bps_fut,Trend,B6_context,1.0467,551.015808,157.116135
0,1659,13,queue_pressure_spot_2bps_60s_btc,queue_pressure_spot_2bps_60s,Pressure,B1_imbalance,-1.0249,-0.351061,-0.070241
0,1659,14,median_queue_pressure_spot_2bps_15s_btc,median_queue_pressure_spot_2bps_15s,Dynamics,B5_dynamics,-1.0084,-0.394826,-0.067441
0,1659,15,ema_slope_50_60m_bps_fut_eth,ema_slope_50_60m_bps_fut,Trend,B6_context,1.0077,13.210811,3.191096
0,1659,16,above_prev_day_high_fut_btc,above_prev_day_high_fut,Level Events,B6_context,1.0059,0.851115,0.366464
0,1659,17,queue_pressure_spot_2bps_15s_btc,queue_pressure_spot_2bps_15s,Pressure,B1_imbalance,-0.9788,-0.387943,-0.061837
0,1659,18,queue_pressure_spot_5bps_60s_btc,queue_pressure_spot_5bps_60s,Pressure,B1_imbalance,-0.9778,-0.202168,-0.032977
0,1659,19,above_prev_day_high_fut_eth,above_prev_day_high_fut,Level Events,B6_context,0.9701,0.807113,0.345726
0,1659,20,median_queue_pressure_spot_5bps_60s_btc,median_queue_pressure_spot_5bps_60s,Dynamics,B5_dynamics,-0.9307,-0.185808,-0.03182
0,1659,21,median_queue_pressure_spot_5bps_15s_btc,median_queue_pressure_spot_5bps_15s,Dynamics,B5_dynamics,-0.9269,-0.211896,-0.031968
