method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca300_k8,btc,30s,30,8,0,1,37,15,1.418,0.815,1.74
kmeans,pca300_k8,btc,30s,30,8,0,1,37,30,3.536,1.154,3.064
kmeans,pca300_k8,btc,30s,30,8,0,1,37,60,5.886,1.533,3.838
kmeans,pca300_k8,btc,30s,30,8,0,1,37,120,5.978,2.296,2.604
kmeans,pca300_k8,btc,30s,30,8,0,1,37,300,7.161,6.963,1.028
kmeans,pca300_k8,btc,30s,30,8,1,-1,220,15,1.311,1.143,1.146
kmeans,pca300_k8,btc,30s,30,8,1,-1,220,30,2.081,1.776,1.171
kmeans,pca300_k8,btc,30s,30,8,1,-1,220,60,4.347,2.037,2.133
kmeans,pca300_k8,btc,30s,30,8,1,-1,220,120,7.886,2.322,3.396
kmeans,pca300_k8,btc,30s,30,8,1,-1,220,300,10.112,4.052,2.495
kmeans,pca300_k8,btc,30s,30,8,2,-1,737,15,1.397,1.213,1.152
kmeans,pca300_k8,btc,30s,30,8,2,-1,737,30,2.279,1.906,1.196
kmeans,pca300_k8,btc,30s,30,8,2,-1,737,60,4.038,2.785,1.45
kmeans,pca300_k8,btc,30s,30,8,2,-1,737,120,6.279,3.844,1.633
kmeans,pca300_k8,btc,30s,30,8,2,-1,737,300,9.538,6.989,1.365
kmeans,pca300_k8,btc,30s,30,8,3,-1,1024,15,0.953,0.963,0.989
kmeans,pca300_k8,btc,30s,30,8,3,-1,1024,30,1.597,1.595,1.001
kmeans,pca300_k8,btc,30s,30,8,3,-1,1024,60,2.947,2.511,1.174
kmeans,pca300_k8,btc,30s,30,8,3,-1,1024,120,4.614,3.794,1.216
kmeans,pca300_k8,btc,30s,30,8,3,-1,1024,300,8.573,8.118,1.056
kmeans,pca300_k8,btc,30s,30,8,4,-1,40,15,0.416,0.508,0.818
kmeans,pca300_k8,btc,30s,30,8,4,-1,40,30,1.561,0.68,2.294
kmeans,pca300_k8,btc,30s,30,8,4,-1,40,60,5.573,0.683,8.164
kmeans,pca300_k8,btc,30s,30,8,4,-1,40,120,7.407,1.136,6.521
kmeans,pca300_k8,btc,30s,30,8,4,-1,40,300,10.364,1.549,6.692
kmeans,pca300_k8,btc,30s,30,8,5,-1,712,15,1.74,1.813,0.96
kmeans,pca300_k8,btc,30s,30,8,5,-1,712,30,2.638,2.704,0.976
kmeans,pca300_k8,btc,30s,30,8,5,-1,712,60,3.568,4.202,0.849
kmeans,pca300_k8,btc,30s,30,8,5,-1,712,120,5.361,6.039,0.888
kmeans,pca300_k8,btc,30s,30,8,5,-1,712,300,8.671,9.406,0.922
kmeans,pca300_k8,btc,30s,30,8,6,-1,1047,15,1.37,1.017,1.348
kmeans,pca300_k8,btc,30s,30,8,6,-1,1047,30,2.424,1.636,1.481
kmeans,pca300_k8,btc,30s,30,8,6,-1,1047,60,3.508,2.601,1.349
kmeans,pca300_k8,btc,30s,30,8,6,-1,1047,120,5.548,4.036,1.375
kmeans,pca300_k8,btc,30s,30,8,6,-1,1047,300,8.926,6.294,1.418
kmeans,pca300_k8,btc,30s,30,8,7,1,380,15,1.348,1.635,0.825
kmeans,pca300_k8,btc,30s,30,8,7,1,380,30,2.469,2.3,1.074
kmeans,pca300_k8,btc,30s,30,8,7,1,380,60,4.541,3.916,1.16
kmeans,pca300_k8,btc,30s,30,8,7,1,380,120,7.49,5.615,1.334
kmeans,pca300_k8,btc,30s,30,8,7,1,380,300,11.451,8.846,1.295
