method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,1s,0.4595,111
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,1s,0.6042,48
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,1s,0.5305,279
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,1s,0.5263,171
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,5s,0.5,124
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,5s,0.58,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,5s,0.5052,291
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,5s,0.5674,178
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,15s,0.5242,124
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,15s,0.68,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,15s,0.5541,296
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,15s,0.6278,180
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,30s,0.4758,124
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,30s,0.44,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,30s,0.5589,297
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,30s,0.7333,180
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,60s,0.4228,123
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,60s,0.22,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,60s,0.5906,298
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,60s,0.7333,180
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,120s,0.4426,122
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,120s,0.5,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,120s,0.5758,297
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,120s,0.6089,179
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,300s,0.2975,121
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,300s,0.74,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,300s,0.5017,297
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,300s,0.4469,179
kmeans,pca600_k8,600,btc,30s,30,8,1,-1,900s,0.4758,124
kmeans,pca600_k8,600,btc,30s,30,8,3,-1,900s,0.62,50
kmeans,pca600_k8,600,btc,30s,30,8,4,-1,900s,0.5488,297
kmeans,pca600_k8,600,btc,30s,30,8,5,-1,900s,0.3333,180
