cluster,n,rank,feature,bare_name,family,bundle,z_score,cluster_mean,global_mean
0,1138,1,broke_prev_day_low_900s_fut_eth,broke_prev_day_low_900s_fut,Level Events,B6_context,2.1806,0.689807,0.084219
0,1138,2,broke_prev_day_low_900s_fut_btc,broke_prev_day_low_900s_fut,Level Events,B6_context,2.015,0.620387,0.078486
0,1138,3,broke_prev_day_low_300s_fut_eth,broke_prev_day_low_300s_fut,Level Events,B6_context,1.8919,0.518453,0.062047
0,1138,4,below_prev_day_low_fut_eth,below_prev_day_low_fut,Level Events,B6_context,1.8438,0.863796,0.17046
0,1138,5,below_prev_day_low_fut_btc,below_prev_day_low_fut,Level Events,B6_context,1.6081,0.753954,0.161777
0,1138,6,queue_pressure_spot_10bps_60s_eth,queue_pressure_spot_10bps_60s,Pressure,B1_imbalance,1.5967,0.219504,-0.014566
0,1138,7,broke_prev_day_low_300s_fut_btc,broke_prev_day_low_300s_fut,Level Events,B6_context,1.5569,0.399824,0.052521
0,1138,8,median_queue_pressure_spot_10bps_60s_eth,median_queue_pressure_spot_10bps_60s,Dynamics,B5_dynamics,1.5541,0.213681,-0.009969
0,1138,9,price_vs_ema_50_5m_bps_fut_eth,price_vs_ema_50_5m_bps_fut,Trend,B6_context,-1.5519,-211.796524,51.531567
0,1138,10,median_queue_pressure_spot_10bps_15s_eth,median_queue_pressure_spot_10bps_15s,Dynamics,B5_dynamics,1.5167,0.228271,-0.016385
0,1138,11,queue_pressure_spot_10bps_15s_eth,queue_pressure_spot_10bps_15s,Pressure,B1_imbalance,1.5165,0.236319,-0.017644
0,1138,12,price_vs_ema_50_15m_bps_fut_eth,price_vs_ema_50_15m_bps_fut,Trend,B6_context,-1.4067,-241.770401,75.111
0,1138,13,queue_pressure_spot_10bps_5s_eth,queue_pressure_spot_10bps_5s,Pressure,B1_imbalance,1.3764,0.242869,-0.018448
0,1138,14,price_vs_ema_200_5m_bps_fut_eth,price_vs_ema_200_5m_bps_fut,Trend,B6_context,-1.3558,-246.82164,82.546432
0,1138,15,net_cancel_spot_5bps_900s_btc,net_cancel_spot_5bps_900s,Pressure,B1_imbalance,-1.3494,-49121792.0,-274158.3125
0,1138,16,median_queue_pressure_spot_5bps_60s_eth,median_queue_pressure_spot_5bps_60s,Dynamics,B5_dynamics,1.3452,0.1964,-0.015484
0,1138,17,net_cancel_spot_10bps_60s_eth,net_cancel_spot_10bps_60s,Pressure,B1_imbalance,-1.3175,-4416865.0,320905.34375
0,1138,18,queue_pressure_spot_10bps_15s_btc,queue_pressure_spot_10bps_15s,Pressure,B1_imbalance,1.2957,0.167526,-0.024956
0,1138,19,range_pos_fut_3600s_eth,range_pos_fut_3600s,Range,B6_context,-1.2879,0.077347,0.584684
0,1138,20,broke_prev_day_low_60s_fut_eth,broke_prev_day_low_60s_fut,Level Events,B6_context,1.2861,0.274165,0.03566
0,1138,21,queue_pressure_spot_5bps_60s_eth,queue_pressure_spot_5bps_60s,Pressure,B1_imbalance,1.2715,0.18341,-0.019169
0,1138,22,trend_aligned_15m_fut_btc,trend_aligned_15m_fut,Trend,B6_context,-1.2522,-0.752197,0.242202
0,1138,23,depth_notional_bid_struct100_fut_900s_eth,depth_notional_bid_struct100_fut_900s,Bookshape,B2_bookshape,1.2448,58927088.0,45248972.0
0,1138,24,queue_pressure_spot_10bps_5s_btc,queue_pressure_spot_10bps_5s,Pressure,B1_imbalance,1.2442,0.179392,-0.027399
0,1138,25,net_cancel_spot_10bps_60s_btc,net_cancel_spot_10bps_60s,Pressure,B1_imbalance,-1.2418,-9558488.0,907087.375
0,1138,26,queue_pressure_spot_10bps_60s_btc,queue_pressure_spot_10bps_60s,Pressure,B1_imbalance,1.23,0.138931,-0.023031
0,1138,27,median_queue_pressure_spot_10bps_15s_btc,median_queue_pressure_spot_10bps_15s,Dynamics,B5_dynamics,1.2129,0.151525,-0.022861
0,1138,28,price_vs_ema_200_15m_bps_fut_eth,price_vs_ema_200_15m_bps_fut,Trend,B6_context,-1.2073,-260.077118,108.852501
0,1138,29,price_vs_ema_50_60m_bps_fut_eth,price_vs_ema_50_60m_bps_fut,Trend,B6_context,-1.2073,-260.077118,108.852501
0,1138,30,trend_aligned_15m_fut_eth,trend_aligned_15m_fut,Trend,B6_context,-1.1858,-0.783831,0.14753
0,1138,31,depth_notional_bid_struct100_fut_300s_eth,depth_notional_bid_struct100_fut_300s,Bookshape,B2_bookshape,1.1817,60974036.0,45477236.0
0,1138,32,median_queue_pressure_spot_10bps_60s_btc,median_queue_pressure_spot_10bps_60s,Dynamics,B5_dynamics,1.1551,0.12556,-0.021172
0,1138,33,depth_notional_bid_struct100_fut_60s_eth,depth_notional_bid_struct100_fut_60s,Bookshape,B2_bookshape,1.1403,17.873962,17.590918
0,1138,34,basis_vwap_sf_900s_eth,basis_vwap_sf_900s,Cross-Market,B4_cross_market,-1.1384,-1.245543,-1.037901
0,1138,35,net_cancel_pressure_spot_5bps_60s_btc,net_cancel_pressure_spot_5bps_60s,Pressure,B1_imbalance,-1.1237,-103497.59375,11840.129883
0,1138,36,net_cancel_spot_5bps_60s_btc,net_cancel_spot_5bps_60s,Pressure,B1_imbalance,-1.1237,-6209858.0,710409.3125
0,1138,37,trend_aligned_60m_fut_eth,trend_aligned_60m_fut,Trend,B6_context,-1.1204,-0.585237,0.253077
0,1138,38,depth_notional_bid_struct100_spot_1s_eth,depth_notional_bid_struct100_spot_1s,Bookshape,B2_bookshape,1.1192,8654691.0,6305887.5
