method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca600_k8,600,eth,30s,30,8,6,57,3.693,3.095,1.193,0.877,4.211,-1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,0,1659,4.911,4.214,1.165,1.166,4.211,-1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,5,2612,4.774,4.454,1.072,1.134,4.211,-1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,7,2063,4.245,4.067,1.044,1.008,4.211,1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,1,2643,4.166,4.013,1.038,0.989,4.211,-1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,2,1163,5.15,5.288,0.974,1.223,4.211,-1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,4,1371,3.702,4.016,0.922,0.879,4.211,-1,1.193,0.2498,1.117,1.432,1.592,1000
kmeans,pca600_k8,600,eth,30s,30,8,3,294,3.257,4.025,0.809,0.773,4.211,1,1.193,0.2498,1.117,1.432,1.592,1000
