method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca150_k8,150,eth,30s,30,8,7,2296,4.418,3.976,1.111,1.049,4.211,-1,1.111,0.2737,1.09,1.192,1.278,1000
kmeans,pca150_k8,150,eth,30s,30,8,0,898,5.503,5.066,1.086,1.307,4.211,-1,1.111,0.2737,1.09,1.192,1.278,1000
kmeans,pca150_k8,150,eth,30s,30,8,1,2052,4.773,4.479,1.066,1.133,4.211,-1,1.111,0.2737,1.09,1.192,1.278,1000
kmeans,pca150_k8,150,eth,30s,30,8,5,2176,4.125,4.086,1.009,0.98,4.211,-1,1.111,0.2737,1.09,1.192,1.278,1000
kmeans,pca150_k8,150,eth,30s,30,8,3,1906,4.329,4.459,0.971,1.028,4.211,1,1.111,0.2737,1.09,1.192,1.278,1000
kmeans,pca150_k8,150,eth,30s,30,8,4,2191,4.0,4.392,0.911,0.95,4.211,-1,1.111,0.2737,1.09,1.192,1.278,1000
kmeans,pca150_k8,150,eth,30s,30,8,2,327,3.186,3.719,0.857,0.757,4.211,1,1.111,0.2737,1.09,1.192,1.278,1000
