method,pca,pca_dim,asset,hz,thr_bps,k,cluster,n,mfe_mean_bps,mae_mean_bps,mfe_mae_ratio,mfe_lift,all_breakout_mfe_bps,trade_dir,perm_best_ratio,perm_p,null_ratio_p50,null_ratio_p95,null_ratio_p99,n_perm
kmeans,pca150_k8,150,btc,30s,30,8,4,37,5.886,1.533,3.838,1.981,2.971,1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,5,148,6.03,1.673,3.604,2.029,2.971,-1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,1,1006,3.549,2.128,1.667,1.194,2.971,-1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,3,773,3.749,3.004,1.248,1.262,2.971,-1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,2,909,2.946,2.771,1.063,0.992,2.971,-1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,7,337,4.182,4.325,0.967,1.407,2.971,-1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,6,902,3.515,4.155,0.846,1.183,2.971,-1,3.838,0.001,1.371,1.893,2.231,1000
kmeans,pca150_k8,150,btc,30s,30,8,0,85,1.598,2.743,0.583,0.538,2.971,1,3.838,0.001,1.371,1.893,2.231,1000
