method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,1s,0.5571,289
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,1s,0.5556,45
kmeans,pca300_k8,300,btc,30s,30,8,5,1,1s,0.4675,661
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,1s,0.4813,241
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,5s,0.523,304
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,5s,0.6739,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,5s,0.4707,682
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,5s,0.531,258
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,15s,0.6019,309
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,15s,0.7391,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,15s,0.4194,682
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,15s,0.5692,260
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,30s,0.5677,310
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,30s,0.5435,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,30s,0.383,684
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,30s,0.6115,260
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,60s,0.5756,311
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,60s,0.3478,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,60s,0.3358,682
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,60s,0.5869,259
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,120s,0.6065,310
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,120s,0.6304,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,120s,0.4152,684
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,120s,0.5019,257
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,300s,0.5032,310
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,300s,0.8913,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,300s,0.3289,684
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,300s,0.3906,256
kmeans,pca300_k8,300,btc,30s,30,8,2,-1,900s,0.4806,310
kmeans,pca300_k8,300,btc,30s,30,8,3,-1,900s,0.7609,46
kmeans,pca300_k8,300,btc,30s,30,8,5,1,900s,0.3704,683
kmeans,pca300_k8,300,btc,30s,30,8,6,-1,900s,0.4154,260
