method,pca,pca_dim,asset,hz,thr_bps,k,cluster,trade_dir,horizon,da_oos,n_test
kmeans,pca300_k8,300,eth,30s,30,8,0,1,1s,0.5187,777
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,1s,0.5328,122
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,1s,0.5291,446
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,1s,0.5513,1578
kmeans,pca300_k8,300,eth,30s,30,8,4,1,1s,0.4654,434
kmeans,pca300_k8,300,eth,30s,30,8,7,1,1s,0.4597,1116
kmeans,pca300_k8,300,eth,30s,30,8,0,1,5s,0.5353,794
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,5s,0.5447,123
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,5s,0.5186,457
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,5s,0.5719,1668
kmeans,pca300_k8,300,eth,30s,30,8,4,1,5s,0.4935,464
kmeans,pca300_k8,300,eth,30s,30,8,6,1,5s,0.3333,30
kmeans,pca300_k8,300,eth,30s,30,8,7,1,5s,0.4559,1169
kmeans,pca300_k8,300,eth,30s,30,8,0,1,15s,0.5195,795
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,15s,0.5691,123
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,15s,0.5978,460
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,15s,0.6049,1668
kmeans,pca300_k8,300,eth,30s,30,8,4,1,15s,0.4026,462
kmeans,pca300_k8,300,eth,30s,30,8,6,1,15s,0.5172,29
kmeans,pca300_k8,300,eth,30s,30,8,7,1,15s,0.4515,1176
kmeans,pca300_k8,300,eth,30s,30,8,0,1,30s,0.4234,796
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,30s,0.7317,123
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,30s,0.6674,460
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,30s,0.583,1674
kmeans,pca300_k8,300,eth,30s,30,8,4,1,30s,0.4708,463
kmeans,pca300_k8,300,eth,30s,30,8,6,1,30s,0.4667,30
kmeans,pca300_k8,300,eth,30s,30,8,7,1,30s,0.4936,1173
kmeans,pca300_k8,300,eth,30s,30,8,0,1,60s,0.3836,795
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,60s,0.7805,123
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,60s,0.6471,459
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,60s,0.5766,1670
kmeans,pca300_k8,300,eth,30s,30,8,4,1,60s,0.5162,463
kmeans,pca300_k8,300,eth,30s,30,8,6,1,60s,0.0,30
kmeans,pca300_k8,300,eth,30s,30,8,7,1,60s,0.5082,1165
kmeans,pca300_k8,300,eth,30s,30,8,0,1,120s,0.4465,795
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,120s,0.4672,122
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,120s,0.5817,459
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,120s,0.5564,1657
kmeans,pca300_k8,300,eth,30s,30,8,4,1,120s,0.4203,464
kmeans,pca300_k8,300,eth,30s,30,8,7,1,120s,0.4725,1164
kmeans,pca300_k8,300,eth,30s,30,8,0,1,300s,0.5176,796
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,300s,0.4797,123
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,300s,0.5142,459
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,300s,0.5632,1653
kmeans,pca300_k8,300,eth,30s,30,8,4,1,300s,0.4387,465
kmeans,pca300_k8,300,eth,30s,30,8,7,1,300s,0.4931,1166
kmeans,pca300_k8,300,eth,30s,30,8,0,1,900s,0.4812,796
kmeans,pca300_k8,300,eth,30s,30,8,1,-1,900s,0.5328,122
kmeans,pca300_k8,300,eth,30s,30,8,2,-1,900s,0.5381,459
kmeans,pca300_k8,300,eth,30s,30,8,3,-1,900s,0.5324,1651
kmeans,pca300_k8,300,eth,30s,30,8,4,1,900s,0.4839,465
kmeans,pca300_k8,300,eth,30s,30,8,6,1,900s,0.0,30
kmeans,pca300_k8,300,eth,30s,30,8,7,1,900s,0.4987,1177
