method,pca,asset,hz,thr_bps,k,cluster,trade_dir,n,window_s,mfe,mae,ratio
kmeans,pca150_k8,btc,30s,30,8,0,1,85,15,0.625,1.488,0.42
kmeans,pca150_k8,btc,30s,30,8,0,1,85,30,1.333,2.13,0.626
kmeans,pca150_k8,btc,30s,30,8,0,1,85,60,1.598,2.743,0.583
kmeans,pca150_k8,btc,30s,30,8,0,1,85,120,1.648,3.961,0.416
kmeans,pca150_k8,btc,30s,30,8,0,1,85,300,2.382,4.048,0.588
kmeans,pca150_k8,btc,30s,30,8,1,-1,1006,15,1.214,0.834,1.455
kmeans,pca150_k8,btc,30s,30,8,1,-1,1006,30,2.18,1.299,1.679
kmeans,pca150_k8,btc,30s,30,8,1,-1,1006,60,3.549,2.128,1.667
kmeans,pca150_k8,btc,30s,30,8,1,-1,1006,120,5.258,3.541,1.485
kmeans,pca150_k8,btc,30s,30,8,1,-1,1006,300,7.853,6.46,1.216
kmeans,pca150_k8,btc,30s,30,8,2,-1,909,15,1.034,1.035,0.999
kmeans,pca150_k8,btc,30s,30,8,2,-1,909,30,1.699,1.745,0.974
kmeans,pca150_k8,btc,30s,30,8,2,-1,909,60,2.946,2.771,1.063
kmeans,pca150_k8,btc,30s,30,8,2,-1,909,120,4.856,4.075,1.192
kmeans,pca150_k8,btc,30s,30,8,2,-1,909,300,9.489,8.063,1.177
kmeans,pca150_k8,btc,30s,30,8,3,-1,773,15,1.37,1.395,0.982
kmeans,pca150_k8,btc,30s,30,8,3,-1,773,30,2.167,2.149,1.008
kmeans,pca150_k8,btc,30s,30,8,3,-1,773,60,3.749,3.004,1.248
kmeans,pca150_k8,btc,30s,30,8,3,-1,773,120,5.797,4.321,1.342
kmeans,pca150_k8,btc,30s,30,8,3,-1,773,300,8.494,8.399,1.011
kmeans,pca150_k8,btc,30s,30,8,4,1,37,15,1.418,0.815,1.74
kmeans,pca150_k8,btc,30s,30,8,4,1,37,30,3.536,1.154,3.064
kmeans,pca150_k8,btc,30s,30,8,4,1,37,60,5.886,1.533,3.838
kmeans,pca150_k8,btc,30s,30,8,4,1,37,120,5.978,2.296,2.604
kmeans,pca150_k8,btc,30s,30,8,4,1,37,300,7.161,6.963,1.028
kmeans,pca150_k8,btc,30s,30,8,5,-1,148,15,1.696,1.03,1.647
kmeans,pca150_k8,btc,30s,30,8,5,-1,148,30,3.083,1.401,2.2
kmeans,pca150_k8,btc,30s,30,8,5,-1,148,60,6.03,1.673,3.604
kmeans,pca150_k8,btc,30s,30,8,5,-1,148,120,10.4,2.252,4.618
kmeans,pca150_k8,btc,30s,30,8,5,-1,148,300,15.081,2.837,5.316
kmeans,pca150_k8,btc,30s,30,8,6,-1,902,15,1.59,1.675,0.949
kmeans,pca150_k8,btc,30s,30,8,6,-1,902,30,2.497,2.653,0.941
kmeans,pca150_k8,btc,30s,30,8,6,-1,902,60,3.515,4.155,0.846
kmeans,pca150_k8,btc,30s,30,8,6,-1,902,120,5.549,5.695,0.974
kmeans,pca150_k8,btc,30s,30,8,6,-1,902,300,9.304,8.366,1.112
kmeans,pca150_k8,btc,30s,30,8,7,-1,337,15,1.578,1.491,1.058
kmeans,pca150_k8,btc,30s,30,8,7,-1,337,30,2.335,2.374,0.984
kmeans,pca150_k8,btc,30s,30,8,7,-1,337,60,4.182,4.325,0.967
kmeans,pca150_k8,btc,30s,30,8,7,-1,337,120,6.102,7.274,0.839
kmeans,pca150_k8,btc,30s,30,8,7,-1,337,300,9.64,10.653,0.905
