asset,hz,thr_bps,pca_dim,k,n_clusters,n_reversal,n_continuation,best_mfe_mae_ratio,best_ratio_mfe_lift,best_ratio_n,mean_mfe_mae_ratio,perm_p,is_final_retained
btc,30s,15,150,10,10,8,2,1.012,1.021,3746,0.9837,0.8621,False
btc,30s,15,300,6,6,6,0,0.957,0.483,793,0.8452,0.1518,False
btc,30s,15,300,8,8,7,1,1.093,0.994,6867,1.0391,0.4545,False
btc,30s,15,300,10,10,8,2,1.024,1.014,5999,0.9847,0.5395,False
btc,30s,15,600,6,6,6,0,0.957,0.483,793,0.8448,0.1518,False
btc,30s,15,600,8,8,8,0,1.118,1.017,6769,1.0524,0.1638,False
btc,30s,15,600,10,10,8,2,1.025,1.016,6072,0.9779,0.5445,False
btc,30s,20,50,6,6,5,1,1.326,0.531,1241,0.9712,0.005,False
btc,30s,20,50,8,8,6,2,3.06,1.547,98,1.3176,0.001,False
btc,30s,20,50,10,10,7,3,1.17,1.102,1033,1.0102,0.0589,False
btc,30s,20,150,6,6,5,1,1.348,0.541,1240,0.9435,0.01,False
btc,30s,20,150,8,8,7,1,1.289,1.373,379,0.981,0.2018,False
btc,30s,20,150,10,10,7,3,1.606,0.862,94,1.0725,0.003,False
btc,30s,20,300,6,6,5,1,1.359,0.553,1286,0.9467,0.009,False
btc,30s,20,300,8,8,7,1,1.287,1.371,380,0.9816,0.2038,False
btc,30s,20,300,10,10,8,2,1.065,1.048,1299,0.9841,0.3536,False
btc,30s,20,600,6,6,5,1,1.346,0.544,1248,0.944,0.01,False
btc,30s,20,600,8,8,6,2,3.06,1.547,98,1.3197,0.001,False
btc,30s,20,600,10,10,6,4,1.252,1.127,778,1.0226,0.012,False
btc,30s,30,50,6,6,4,2,1.919,0.586,378,0.9817,0.048,False
btc,30s,30,50,8,8,5,3,3.838,1.981,37,1.7772,0.001,False
btc,30s,30,50,10,10,7,3,8.479,1.242,26,1.7605,0.001,False
btc,30s,30,150,6,6,5,1,2.097,0.634,385,1.0905,0.001,False
btc,30s,30,150,8,8,6,2,3.838,1.981,37,1.727,0.001,False
btc,30s,30,150,10,10,7,3,8.479,1.242,26,1.7309,0.001,False
btc,30s,30,300,6,6,5,1,2.732,2.732,313,1.3322,0.001,False
btc,30s,30,300,8,8,6,2,8.164,1.876,40,2.5146,0.001,False
btc,30s,30,300,10,10,8,2,8.479,1.242,26,1.7442,0.001,False
btc,30s,30,600,6,6,5,1,1.331,1.731,877,0.6793,0.3027,False
btc,30s,30,600,8,8,6,2,1.455,1.498,132,1.1555,0.1948,True
btc,30s,30,600,10,10,7,3,8.479,1.242,26,1.7301,0.001,False
btc,30s,40,50,6,6,5,1,0.781,1.235,455,0.3915,0.963,False
btc,30s,40,50,8,8,7,1,17.249,2.181,25,4.1464,0.001,False
btc,30s,40,50,10,7,5,2,1.619,0.573,40,0.9839,0.042,False
btc,30s,40,150,6,6,5,1,0.766,1.211,456,0.4303,0.982,False
btc,30s,40,150,8,8,6,2,4.802,2.01,33,1.8285,0.001,False
btc,30s,40,150,10,8,4,4,2.397,1.473,74,1.1704,0.001,False
