column,vif,bare_name,base_concept,group,asset,stage,window_s,market_scope
z_avg_trade_size_fut_60s_btc,10.1331,z_avg_trade_size_fut_60s,z_avg_trade_size,Normalization,btc,S2,60.0,Futures
net_add_persist_fut_5bps_60s_btc,10.0946,net_add_persist_fut_5bps_60s,net_add_persist_5bps,Dynamics,btc,S5,60.0,Futures
ca_net_pressure_shock_fut_5bps_spread_15s_btceth,10.0446,ca_net_pressure_shock_fut_5bps_spread_15s,ca_net_pressure_shock_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
net_cancel_robust_z_spot_10bps_15s_btc,10.0129,net_cancel_robust_z_spot_10bps_15s,net_cancel_robust_z_10bps,Pressure,btc,S5,15.0,Spot
z_queue_pressure_fut_1bps_60s_btc,10.0104,z_queue_pressure_fut_1bps_60s,z_queue_pressure_1bps,Normalization,btc,S3,60.0,Futures
d1_taker_imbalance_spot_5s_btc,9.9766,d1_taker_imbalance_spot_5s,d1_taker_imbalance,Dynamics,btc,S3,,Spot
refill_rate_shock_fut_2bps_5s_btc,9.9365,refill_rate_shock_fut_2bps_5s,refill_rate_shock_2bps,Dynamics,btc,S2,5.0,Futures
net_add_robust_z_spot_5bps_15s_btc,9.9224,net_add_robust_z_spot_5bps_15s,net_add_robust_z_5bps,Pressure,btc,S5,15.0,Spot
ca_pull_rate_shock_fut_5bps_spread_60s_btceth,9.9203,ca_pull_rate_shock_fut_5bps_spread_60s,ca_pull_rate_shock_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
median_vacuum_score_fut_10bps_5s_btc,9.8374,median_vacuum_score_fut_10bps_5s,median_vacuum_score_10bps,Dynamics,btc,S4,5.0,Futures
net_pressure_shock_spot_1bps_60s_btc,9.8288,net_pressure_shock_spot_1bps_60s,net_pressure_shock_1bps,Dynamics,btc,S2,60.0,Spot
ca_vacuum_shock_fut_5bps_spread_15s_btceth,9.828,ca_vacuum_shock_fut_5bps_spread_15s,ca_vacuum_shock_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
net_add_persist_spot_10bps_15s_btc,9.8123,net_add_persist_spot_10bps_15s,net_add_persist_10bps,Dynamics,btc,S5,15.0,Spot
flow_depth_align_spot_struct100_1s_btc,9.8077,flow_depth_align_spot_struct100_1s,flow_depth_align_struct100,Dynamics,btc,S2,,Spot
ca_net_pressure_fut_5bps_spread_60s_btceth,9.7935,ca_net_pressure_fut_5bps_spread_60s,ca_net_pressure_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
net_add_persist_spot_2bps_15s_btc,9.7701,net_add_persist_spot_2bps_15s,net_add_persist_2bps,Dynamics,btc,S5,15.0,Spot
queue_pressure_shock_spot_2bps_60s_btc,9.7525,queue_pressure_shock_spot_2bps_60s,queue_pressure_shock_2bps,Dynamics,btc,S2,60.0,Spot
net_pressure_pct_rank_fut_5bps_15s_btc,9.7339,net_pressure_pct_rank_fut_5bps_15s,net_pressure_pct_rank_5bps,Pressure,btc,S4,15.0,Futures
median_net_pressure_fut_2bps_60s_btc,9.7166,median_net_pressure_fut_2bps_60s,median_net_pressure_2bps,Dynamics,btc,S4,60.0,Futures
net_add_persist_spot_2bps_60s_btc,9.6502,net_add_persist_spot_2bps_60s,net_add_persist_2bps,Dynamics,btc,S5,60.0,Spot
ca_vacuum_shock_spot_10bps_spread_15s_btceth,9.6347,ca_vacuum_shock_spot_10bps_spread_15s,ca_vacuum_shock_10bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
net_cancel_persist_spot_5bps_60s_btc,9.5716,net_cancel_persist_spot_5bps_60s,net_cancel_persist_5bps,Dynamics,btc,S5,60.0,Spot
mad_queue_pressure_fut_2bps_15s_btc,9.5314,mad_queue_pressure_fut_2bps_15s,mad_queue_pressure_2bps,Dynamics,btc,S2,15.0,Futures
refill_vs_pull_spot_1bps_persist_15s_btc,9.5266,refill_vs_pull_spot_1bps_persist_15s,refill_vs_pull_1bps_persist,Dynamics,btc,S3,15.0,Spot
mad_queue_pressure_fut_2bps_5s_btc,9.5196,mad_queue_pressure_fut_2bps_5s,mad_queue_pressure_2bps,Dynamics,btc,S2,5.0,Futures
ca_depth_curvature_fut_spread_60s_btceth,9.4814,ca_depth_curvature_fut_spread_60s,ca_depth_curvature_spread,Cross-Asset,btceth,S6,,Cross-Asset
ca_net_pressure_spot_5bps_spread_300s_btceth,9.4693,ca_net_pressure_spot_5bps_spread_300s,ca_net_pressure_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
ca_net_cancel_spot_5bps_spread_60s_btceth,9.458,ca_net_cancel_spot_5bps_spread_60s,ca_net_cancel_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
impact_per_signed_spot_15s_btc,9.4175,impact_per_signed_spot_15s,impact_per_signed,Impact,btc,S2,15.0,Spot
z_queue_pressure_fut_5bps_1s_btc,9.4085,z_queue_pressure_fut_5bps_1s,z_queue_pressure_5bps,Normalization,btc,S2,5.0,Futures
net_cancel_robust_z_fut_5bps_15s_btc,9.3484,net_cancel_robust_z_fut_5bps_15s,net_cancel_robust_z_5bps,Pressure,btc,S5,15.0,Futures
ca_depth_curvature_fut_spread_15s_btceth,9.3431,ca_depth_curvature_fut_spread_15s,ca_depth_curvature_spread,Cross-Asset,btceth,S6,,Cross-Asset
net_add_persist_spot_5bps_60s_btc,9.3185,net_add_persist_spot_5bps_60s,net_add_persist_5bps,Dynamics,btc,S5,60.0,Spot
net_add_persist_spot_10bps_60s_btc,9.3047,net_add_persist_spot_10bps_60s,net_add_persist_10bps,Dynamics,btc,S5,60.0,Spot
z_pull_rate_fut_2bps_15s_btc,9.3004,z_pull_rate_fut_2bps_15s,z_pull_rate_2bps,Normalization,btc,S3,15.0,Futures
net_cancel_robust_z_fut_5bps_60s_btc,9.2661,net_cancel_robust_z_fut_5bps_60s,net_cancel_robust_z_5bps,Pressure,btc,S5,60.0,Futures
z_pull_rate_fut_1bps_15s_btc,9.228,z_pull_rate_fut_1bps_15s,z_pull_rate_1bps,Normalization,btc,S3,15.0,Futures
liq_cluster_asymmetry_fut_struct100_60s_btc,9.15,liq_cluster_asymmetry_fut_struct100_60s,liq_cluster_asymmetry_struct100,Bookshape,btc,S1,60.0,Futures
ca_vacuum_shock_fut_10bps_spread_60s_btceth,9.0672,ca_vacuum_shock_fut_10bps_spread_60s,ca_vacuum_shock_10bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
z_pull_rate_spot_1bps_15s_btc,9.0398,z_pull_rate_spot_1bps_15s,z_pull_rate_1bps,Normalization,btc,S3,15.0,Spot
z_depth_gradient_spot_struct50_900s_btc,9.0143,z_depth_gradient_spot_struct50_900s,z_depth_gradient_struct50,Normalization,btc,S4,900.0,Spot
ca_depth_curvature_spot_spread_15s_btceth,8.9957,ca_depth_curvature_spot_spread_15s,ca_depth_curvature_spread,Cross-Asset,btceth,S6,,Cross-Asset
z_queue_pressure_fut_1bps_15s_btc,8.9905,z_queue_pressure_fut_1bps_15s,z_queue_pressure_1bps,Normalization,btc,S3,15.0,Futures
d1_taker_imbalance_fut_5s_btc,8.9516,d1_taker_imbalance_fut_5s,d1_taker_imbalance,Dynamics,btc,S3,,Futures
absorption_volume_bid_fut_1bps_15s_btc,8.9324,absorption_volume_bid_fut_1bps_15s,absorption_volume_bid_1bps,Absorption,btc,S1,15.0,Futures
taker_imbalance_fut_persist_60s_btc,8.8903,taker_imbalance_fut_persist_60s,taker_imbalance_persist,Dynamics,btc,S3,60.0,Futures
refill_vs_pull_fut_1bps_persist_15s_btc,8.863,refill_vs_pull_fut_1bps_persist_15s,refill_vs_pull_1bps_persist,Dynamics,btc,S3,15.0,Futures
z_taker_imbalance_spot_300s_btc,8.7937,z_taker_imbalance_spot_300s,z_taker_imbalance,Normalization,btc,S3,300.0,Spot
vacuum_score_shock_spot_5bps_5s_btc,8.7792,vacuum_score_shock_spot_5bps_5s,vacuum_score_shock_5bps,Dynamics,btc,S4,,Spot
absorption_volume_bid_spot_1bps_15s_btc,8.7736,absorption_volume_bid_spot_1bps_15s,absorption_volume_bid_1bps,Absorption,btc,S1,15.0,Spot
taker_imbalance_spot_persist_60s_btc,8.7533,taker_imbalance_spot_persist_60s,taker_imbalance_persist,Dynamics,btc,S3,60.0,Spot
ca_vacuum_shock_fut_5bps_spread_60s_btceth,8.6524,ca_vacuum_shock_fut_5bps_spread_60s,ca_vacuum_shock_5bps_spread,Cross-Asset,btceth,S6,,Cross-Asset
z_impact_per_signed_fut_15s_btc,8.647,z_impact_per_signed_fut_15s,z_impact_per_signed,Normalization,btc,S3,15.0,Futures
queue_pressure_shock_spot_10bps_15s_btc,8.631,queue_pressure_shock_spot_10bps_15s,queue_pressure_shock_10bps,Dynamics,btc,S2,15.0,Spot
net_add_robust_z_fut_5bps_15s_btc,8.6162,net_add_robust_z_fut_5bps_15s,net_add_robust_z_5bps,Pressure,btc,S5,15.0,Futures
median_vacuum_score_fut_5bps_15s_btc,8.5924,median_vacuum_score_fut_5bps_15s,median_vacuum_score_5bps,Dynamics,btc,S4,15.0,Futures
cancel_rate_bid_fut_1bps_1s_btc,8.5066,cancel_rate_bid_fut_1bps_1s,cancel_rate_bid_1bps,Liquidity Events,btc,S1,,Futures
d1_taker_imbalance_fut_15s_btc,8.4553,d1_taker_imbalance_fut_15s,d1_taker_imbalance,Dynamics,btc,S3,,Futures
net_pressure_pct_rank_fut_5bps_5s_btc,8.3398,net_pressure_pct_rank_fut_5bps_5s,net_pressure_pct_rank_5bps,Pressure,btc,S4,5.0,Futures
net_pressure_shock_spot_10bps_15s_btc,8.3347,net_pressure_shock_spot_10bps_15s,net_pressure_shock_10bps,Dynamics,btc,S4,,Spot
